,Soort misdrijf,Perioden,Regio's,Geregistreerde misdrijven (aantal),Aangiften (aantal)
81,1.1.1 Diefstal/inbraak woning,2021,Albrandswaard,24.0,23.0
82,1.1.1 Diefstal/inbraak woning,2022,Albrandswaard,29.0,28.0
83,1.1.1 Diefstal/inbraak woning,2023,Albrandswaard,38.0,39.0
84,1.1.1 Diefstal/inbraak woning,2012,Alkmaar,576.0,575.0
85,1.1.1 Diefstal/inbraak woning,2013,Alkmaar,559.0,555.0
86,1.1.1 Diefstal/inbraak woning,2014,Alkmaar,538.0,536.0
87,1.1.1 Diefstal/inbraak woning,2015,Alkmaar,461.0,461.0
88,1.1.1 Diefstal/inbraak woning,2016,Alkmaar,441.0,445.0
89,1.1.1 Diefstal/inbraak woning,2017,Alkmaar,276.0,276.0
90,1.1.1 Diefstal/inbraak woning,2018,Alkmaar,215.0,221.0
91,1.1.1 Diefstal/inbraak woning,2019,Alkmaar,166.0,167.0
92,1.1.1 Diefstal/inbraak woning,2020,Alkmaar,178.0,176.0
93,1.1.1 Diefstal/inbraak woning,2021,Alkmaar,97.0,98.0
94,1.1.1 Diefstal/inbraak woning,2022,Alkmaar,110.0,109.0
95,1.1.1 Diefstal/inbraak woning,2023,Alkmaar,93.0,94.0
96,1.1.1 Diefstal/inbraak woning,2012,Almelo,373.0,360.0
97,1.1.1 Diefstal/inbraak woning,2013,Almelo,412.0,387.0
98,1.1.1 Diefstal/inbraak woning,2014,Almelo,268.0,258.0
99,1.1.1 Diefstal/inbraak woning,2015,Almelo,172.0,161.0
100,1.1.1 Diefstal/inbraak woning,2016,Almelo,259.0,255.0
101,1.1.1 Diefstal/inbraak woning,2017,Almelo,187.0,188.0
102,1.1.1 Diefstal/inbraak woning,2018,Almelo,120.0,117.0
103,1.1.1 Diefstal/inbraak woning,2019,Almelo,154.0,150.0
104,1.1.1 Diefstal/inbraak woning,2020,Almelo,128.0,123.0
105,1.1.1 Diefstal/inbraak woning,2021,Almelo,84.0,79.0
106,1.1.1 Diefstal/inbraak woning,2022,Almelo,110.0,110.0
107,1.1.1 Diefstal/inbraak woning,2023,Almelo,80.0,75.0
108,1.1.1 Diefstal/inbraak woning,2012,Almere,1686.0,1638.0
109,1.1.1 Diefstal/inbraak woning,2013,Almere,1887.0,1835.0
110,1.1.1 Diefstal/inbraak woning,2014,Almere,1264.0,1247.0
111,1.1.1 Diefstal/inbraak woning,2015,Almere,941.0,925.0
112,1.1.1 Diefstal/inbraak woning,2016,Almere,906.0,891.0
113,1.1.1 Diefstal/inbraak woning,2017,Almere,1047.0,1026.0
114,1.1.1 Diefstal/inbraak woning,2018,Almere,996.0,992.0
115,1.1.1 Diefstal/inbraak woning,2019,Almere,677.0,683.0
116,1.1.1 Diefstal/inbraak woning,2020,Almere,520.0,512.0
117,1.1.1 Diefstal/inbraak woning,2021,Almere,373.0,364.0
118,1.1.1 Diefstal/inbraak woning,2022,Almere,420.0,418.0
119,1.1.1 Diefstal/inbraak woning,2023,Almere,247.0,240.0
120,1.1.1 Diefstal/inbraak woning,2012,Alphen aan den Rijn,446.0,437.0
121,1.1.1 Diefstal/inbraak woning,2013,Alphen aan den Rijn,381.0,375.0
122,1.1.1 Diefstal/inbraak woning,2014,Alphen aan den Rijn,286.0,284.0
123,1.1.1 Diefstal/inbraak woning,2015,Alphen aan den Rijn,339.0,334.0
124,1.1.1 Diefstal/inbraak woning,2016,Alphen aan den Rijn,279.0,276.0
125,1.1.1 Diefstal/inbraak woning,2017,Alphen aan den Rijn,165.0,162.0
126,1.1.1 Diefstal/inbraak woning,2018,Alphen aan den Rijn,153.0,152.0
127,1.1.1 Diefstal/inbraak woning,2019,Alphen aan den Rijn,134.0,134.0
128,1.1.1 Diefstal/inbraak woning,2020,Alphen aan den Rijn,147.0,145.0
129,1.1.1 Diefstal/inbraak woning,2021,Alphen aan den Rijn,114.0,112.0
130,1.1.1 Diefstal/inbraak woning,2022,Alphen aan den Rijn,80.0,78.0
131,1.1.1 Diefstal/inbraak woning,2023,Alphen aan den Rijn,112.0,111.0
132,1.1.1 Diefstal/inbraak woning,2012,Alphen-Chaam,103.0,100.0
133,1.1.1 Diefstal/inbraak woning,2013,Alphen-Chaam,108.0,105.0
134,1.1.1 Diefstal/inbraak woning,2014,Alphen-Chaam,83.0,81.0
135,1.1.1 Diefstal/inbraak woning,2015,Alphen-Chaam,44.0,45.0
136,1.1.1 Diefstal/inbraak woning,2016,Alphen-Chaam,34.0,35.0
137,1.1.1 Diefstal/inbraak woning,2017,Alphen-Chaam,32.0,32.0
138,1.1.1 Diefstal/inbraak woning,2018,Alphen-Chaam,25.0,25.0
139,1.1.1 Diefstal/inbraak woning,2019,Alphen-Chaam,29.0,27.0
140,1.1.1 Diefstal/inbraak woning,2020,Alphen-Chaam,29.0,28.0
141,1.1.1 Diefstal/inbraak woning,2021,Alphen-Chaam,19.0,18.0
142,1.1.1 Diefstal/inbraak woning,2022,Alphen-Chaam,24.0,25.0
143,1.1.1 Diefstal/inbraak woning,2023,Alphen-Chaam,28.0,26.0
144,1.1.1 Diefstal/inbraak woning,2012,Altena,210.0,207.0
145,1.1.1 Diefstal/inbraak woning,2013,Altena,208.0,207.0
146,1.1.1 Diefstal/inbraak woning,2014,Altena,182.0,180.0
147,1.1.1 Diefstal/inbraak woning,2015,Altena,185.0,184.0
148,1.1.1 Diefstal/inbraak woning,2016,Altena,98.0,96.0
149,1.1.1 Diefstal/inbraak woning,2017,Altena,71.0,73.0
150,1.1.1 Diefstal/inbraak woning,2018,Altena,79.0,76.0
151,1.1.1 Diefstal/inbraak woning,2019,Altena,81.0,80.0
152,1.1.1 Diefstal/inbraak woning,2020,Altena,55.0,52.0
153,1.1.1 Diefstal/inbraak woning,2021,Altena,72.0,67.0
154,1.1.1 Diefstal/inbraak woning,2022,Altena,67.0,65.0
155,1.1.1 Diefstal/inbraak woning,2023,Altena,73.0,71.0
156,1.1.1 Diefstal/inbraak woning,2012,Ameland,5.0,5.0
157,1.1.1 Diefstal/inbraak woning,2013,Ameland,4.0,4.0
158,1.1.1 Diefstal/inbraak woning,2014,Ameland,4.0,4.0
159,1.1.1 Diefstal/inbraak woning,2015,Ameland,4.0,4.0
160,1.1.1 Diefstal/inbraak woning,2016,Ameland,3.0,3.0
161,1.1.1 Diefstal/inbraak woning,2017,Ameland,,
162,1.1.1 Diefstal/inbraak woning,2018,Ameland,2.0,2.0
163,1.1.1 Diefstal/inbraak woning,2019,Ameland,2.0,2.0
164,1.1.1 Diefstal/inbraak woning,2020,Ameland,1.0,1.0
165,1.1.1 Diefstal/inbraak woning,2021,Ameland,2.0,2.0
166,1.1.1 Diefstal/inbraak woning,2022,Ameland,2.0,2.0
167,1.1.1 Diefstal/inbraak woning,2023,Ameland,,
168,1.1.1 Diefstal/inbraak woning,2012,Amersfoort,1205.0,1188.0
169,1.1.1 Diefstal/inbraak woning,2013,Amersfoort,1153.0,1155.0
170,1.1.1 Diefstal/inbraak woning,2014,Amersfoort,823.0,818.0
171,1.1.1 Diefstal/inbraak woning,2015,Amersfoort,619.0,613.0
172,1.1.1 Diefstal/inbraak woning,2016,Amersfoort,560.0,557.0
173,1.1.1 Diefstal/inbraak woning,2017,Amersfoort,512.0,510.0
174,1.1.1 Diefstal/inbraak woning,2018,Amersfoort,617.0,613.0
175,1.1.1 Diefstal/inbraak woning,2019,Amersfoort,636.0,627.0
176,1.1.1 Diefstal/inbraak woning,2020,Amersfoort,414.0,410.0
177,1.1.1 Diefstal/inbraak woning,2021,Amersfoort,205.0,201.0
178,1.1.1 Diefstal/inbraak woning,2022,Amersfoort,215.0,214.0
179,1.1.1 Diefstal/inbraak woning,2023,Amersfoort,191.0,188.0
180,1.1.1 Diefstal/inbraak woning,2012,Amstelveen,541.0,538.0
181,1.1.1 Diefstal/inbraak woning,2013,Amstelveen,630.0,626.0
182,1.1.1 Diefstal/inbraak woning,2014,Amstelveen,346.0,345.0
183,1.1.1 Diefstal/inbraak woning,2015,Amstelveen,369.0,360.0
184,1.1.1 Diefstal/inbraak woning,2016,Amstelveen,288.0,288.0
185,1.1.1 Diefstal/inbraak woning,2017,Amstelveen,405.0,396.0
186,1.1.1 Diefstal/inbraak woning,2018,Amstelveen,399.0,397.0
187,1.1.1 Diefstal/inbraak woning,2019,Amstelveen,266.0,262.0
188,1.1.1 Diefstal/inbraak woning,2020,Amstelveen,270.0,257.0
189,1.1.1 Diefstal/inbraak woning,2021,Amstelveen,186.0,172.0
190,1.1.1 Diefstal/inbraak woning,2022,Amstelveen,231.0,225.0
191,1.1.1 Diefstal/inbraak woning,2023,Amstelveen,245.0,244.0
192,1.1.1 Diefstal/inbraak woning,2012,Amsterdam,6016.0,5918.0
193,1.1.1 Diefstal/inbraak woning,2013,Amsterdam,6663.0,6633.0
194,1.1.1 Diefstal/inbraak woning,2014,Amsterdam,5577.0,5514.0
195,1.1.1 Diefstal/inbraak woning,2015,Amsterdam,5229.0,5203.0
196,1.1.1 Diefstal/inbraak woning,2016,Amsterdam,4426.0,4314.0
197,1.1.1 Diefstal/inbraak woning,2017,Amsterdam,4599.0,4522.0
198,1.1.1 Diefstal/inbraak woning,2018,Amsterdam,3553.0,3423.0
199,1.1.1 Diefstal/inbraak woning,2019,Amsterdam,3430.0,3318.0
200,1.1.1 Diefstal/inbraak woning,2020,Amsterdam,2429.0,2333.0
201,1.1.1 Diefstal/inbraak woning,2021,Amsterdam,1764.0,1647.0
202,1.1.1 Diefstal/inbraak woning,2022,Amsterdam,1732.0,1561.0
203,1.1.1 Diefstal/inbraak woning,2023,Amsterdam,1783.0,1580.0
204,1.1.1 Diefstal/inbraak woning,2012,Apeldoorn,820.0,797.0
205,1.1.1 Diefstal/inbraak woning,2013,Apeldoorn,653.0,651.0
206,1.1.1 Diefstal/inbraak woning,2014,Apeldoorn,653.0,648.0
207,1.1.1 Diefstal/inbraak woning,2015,Apeldoorn,574.0,568.0
208,1.1.1 Diefstal/inbraak woning,2016,Apeldoorn,526.0,515.0
209,1.1.1 Diefstal/inbraak woning,2017,Apeldoorn,456.0,455.0
210,1.1.1 Diefstal/inbraak woning,2018,Apeldoorn,346.0,343.0
211,1.1.1 Diefstal/inbraak woning,2019,Apeldoorn,384.0,381.0
212,1.1.1 Diefstal/inbraak woning,2020,Apeldoorn,322.0,314.0
213,1.1.1 Diefstal/inbraak woning,2021,Apeldoorn,267.0,269.0
214,1.1.1 Diefstal/inbraak woning,2022,Apeldoorn,249.0,243.0
215,1.1.1 Diefstal/inbraak woning,2023,Apeldoorn,278.0,277.0
216,1.1.1 Diefstal/inbraak woning,2012,Arnhem,1198.0,1173.0
217,1.1.1 Diefstal/inbraak woning,2013,Arnhem,946.0,928.0
218,1.1.1 Diefstal/inbraak woning,2014,Arnhem,817.0,803.0
219,1.1.1 Diefstal/inbraak woning,2015,Arnhem,715.0,698.0
220,1.1.1 Diefstal/inbraak woning,2016,Arnhem,665.0,652.0
221,1.1.1 Diefstal/inbraak woning,2017,Arnhem,538.0,535.0
222,1.1.1 Diefstal/inbraak woning,2018,Arnhem,399.0,393.0
223,1.1.1 Diefstal/inbraak woning,2019,Arnhem,453.0,446.0
224,1.1.1 Diefstal/inbraak woning,2020,Arnhem,353.0,343.0
225,1.1.1 Diefstal/inbraak woning,2021,Arnhem,298.0,292.0
226,1.1.1 Diefstal/inbraak woning,2022,Arnhem,276.0,275.0
227,1.1.1 Diefstal/inbraak woning,2023,Arnhem,236.0,230.0
228,1.1.1 Diefstal/inbraak woning,2012,Assen,338.0,321.0
229,1.1.1 Diefstal/inbraak woning,2013,Assen,411.0,397.0
230,1.1.1 Diefstal/inbraak woning,2014,Assen,255.0,256.0
231,1.1.1 Diefstal/inbraak woning,2015,Assen,130.0,130.0
232,1.1.1 Diefstal/inbraak woning,2016,Assen,174.0,170.0
233,1.1.1 Diefstal/inbraak woning,2017,Assen,160.0,154.0
234,1.1.1 Diefstal/inbraak woning,2018,Assen,128.0,124.0
235,1.1.1 Diefstal/inbraak woning,2019,Assen,95.0,90.0
236,1.1.1 Diefstal/inbraak woning,2020,Assen,135.0,134.0
237,1.1.1 Diefstal/inbraak woning,2021,Assen,81.0,75.0
238,1.1.1 Diefstal/inbraak woning,2022,Assen,89.0,89.0
239,1.1.1 Diefstal/inbraak woning,2023,Assen,72.0,71.0
240,1.1.1 Diefstal/inbraak woning,2012,Asten,70.0,70.0
241,1.1.1 Diefstal/inbraak woning,2013,Asten,82.0,81.0
242,1.1.1 Diefstal/inbraak woning,2014,Asten,64.0,63.0
243,1.1.1 Diefstal/inbraak woning,2015,Asten,71.0,71.0
244,1.1.1 Diefstal/inbraak woning,2016,Asten,46.0,44.0
245,1.1.1 Diefstal/inbraak woning,2017,Asten,35.0,36.0
246,1.1.1 Diefstal/inbraak woning,2018,Asten,30.0,30.0
247,1.1.1 Diefstal/inbraak woning,2019,Asten,53.0,53.0
248,1.1.1 Diefstal/inbraak woning,2020,Asten,28.0,28.0
249,1.1.1 Diefstal/inbraak woning,2021,Asten,26.0,25.0
250,1.1.1 Diefstal/inbraak woning,2022,Asten,21.0,20.0
251,1.1.1 Diefstal/inbraak woning,2023,Asten,17.0,17.0
252,1.1.1 Diefstal/inbraak woning,2012,Baarle-Nassau,53.0,51.0
253,1.1.1 Diefstal/inbraak woning,2013,Baarle-Nassau,33.0,33.0
254,1.1.1 Diefstal/inbraak woning,2014,Baarle-Nassau,44.0,44.0
255,1.1.1 Diefstal/inbraak woning,2015,Baarle-Nassau,27.0,27.0
256,1.1.1 Diefstal/inbraak woning,2016,Baarle-Nassau,11.0,11.0
257,1.1.1 Diefstal/inbraak woning,2017,Baarle-Nassau,28.0,27.0
258,1.1.1 Diefstal/inbraak woning,2018,Baarle-Nassau,16.0,15.0
259,1.1.1 Diefstal/inbraak woning,2019,Baarle-Nassau,18.0,17.0
260,1.1.1 Diefstal/inbraak woning,2020,Baarle-Nassau,6.0,6.0
261,1.1.1 Diefstal/inbraak woning,2021,Baarle-Nassau,10.0,10.0
262,1.1.1 Diefstal/inbraak woning,2022,Baarle-Nassau,6.0,5.0
263,1.1.1 Diefstal/inbraak woning,2023,Baarle-Nassau,14.0,13.0
264,1.1.1 Diefstal/inbraak woning,2012,Baarn,140.0,140.0
265,1.1.1 Diefstal/inbraak woning,2013,Baarn,175.0,174.0
266,1.1.1 Diefstal/inbraak woning,2014,Baarn,164.0,161.0
267,1.1.1 Diefstal/inbraak woning,2015,Baarn,111.0,107.0
268,1.1.1 Diefstal/inbraak woning,2016,Baarn,116.0,117.0
269,1.1.1 Diefstal/inbraak woning,2017,Baarn,138.0,136.0
270,1.1.1 Diefstal/inbraak woning,2018,Baarn,188.0,189.0
271,1.1.1 Diefstal/inbraak woning,2019,Baarn,92.0,89.0
272,1.1.1 Diefstal/inbraak woning,2020,Baarn,79.0,80.0
273,1.1.1 Diefstal/inbraak woning,2021,Baarn,71.0,71.0
274,1.1.1 Diefstal/inbraak woning,2022,Baarn,51.0,51.0
275,1.1.1 Diefstal/inbraak woning,2023,Baarn,44.0,43.0
276,1.1.1 Diefstal/inbraak woning,2012,Barendrecht,299.0,295.0
277,1.1.1 Diefstal/inbraak woning,2013,Barendrecht,155.0,153.0
278,1.1.1 Diefstal/inbraak woning,2014,Barendrecht,160.0,161.0
279,1.1.1 Diefstal/inbraak woning,2015,Barendrecht,134.0,134.0
280,1.1.1 Diefstal/inbraak woning,2016,Barendrecht,141.0,141.0
281,1.1.1 Diefstal/inbraak woning,2017,Barendrecht,164.0,164.0
282,1.1.1 Diefstal/inbraak woning,2018,Barendrecht,107.0,104.0
283,1.1.1 Diefstal/inbraak woning,2019,Barendrecht,88.0,85.0
284,1.1.1 Diefstal/inbraak woning,2020,Barendrecht,83.0,82.0
285,1.1.1 Diefstal/inbraak woning,2021,Barendrecht,43.0,41.0
286,1.1.1 Diefstal/inbraak woning,2022,Barendrecht,59.0,59.0
287,1.1.1 Diefstal/inbraak woning,2023,Barendrecht,45.0,45.0
288,1.1.1 Diefstal/inbraak woning,2012,Barneveld,228.0,226.0
289,1.1.1 Diefstal/inbraak woning,2013,Barneveld,229.0,227.0
290,1.1.1 Diefstal/inbraak woning,2014,Barneveld,195.0,198.0
291,1.1.1 Diefstal/inbraak woning,2015,Barneveld,159.0,160.0
292,1.1.1 Diefstal/inbraak woning,2016,Barneveld,129.0,129.0
293,1.1.1 Diefstal/inbraak woning,2017,Barneveld,116.0,113.0
294,1.1.1 Diefstal/inbraak woning,2018,Barneveld,114.0,115.0
295,1.1.1 Diefstal/inbraak woning,2019,Barneveld,121.0,122.0
296,1.1.1 Diefstal/inbraak woning,2020,Barneveld,76.0,75.0
297,1.1.1 Diefstal/inbraak woning,2021,Barneveld,77.0,76.0
298,1.1.1 Diefstal/inbraak woning,2022,Barneveld,55.0,55.0
299,1.1.1 Diefstal/inbraak woning,2023,Barneveld,63.0,63.0
300,1.1.1 Diefstal/inbraak woning,2012,Beek (L.),79.0,78.0
301,1.1.1 Diefstal/inbraak woning,2013,Beek (L.),71.0,72.0
302,1.1.1 Diefstal/inbraak woning,2014,Beek (L.),74.0,75.0
303,1.1.1 Diefstal/inbraak woning,2015,Beek (L.),81.0,82.0
304,1.1.1 Diefstal/inbraak woning,2016,Beek (L.),54.0,52.0
305,1.1.1 Diefstal/inbraak woning,2017,Beek (L.),53.0,53.0
306,1.1.1 Diefstal/inbraak woning,2018,Beek (L.),65.0,65.0
307,1.1.1 Diefstal/inbraak woning,2019,Beek (L.),43.0,41.0
308,1.1.1 Diefstal/inbraak woning,2020,Beek (L.),28.0,27.0
309,1.1.1 Diefstal/inbraak woning,2021,Beek (L.),13.0,14.0
310,1.1.1 Diefstal/inbraak woning,2022,Beek (L.),17.0,17.0
311,1.1.1 Diefstal/inbraak woning,2023,Beek (L.),12.0,11.0
312,1.1.1 Diefstal/inbraak woning,2012,Beekdaelen,226.0,226.0
313,1.1.1 Diefstal/inbraak woning,2013,Beekdaelen,173.0,173.0
314,1.1.1 Diefstal/inbraak woning,2014,Beekdaelen,190.0,192.0
315,1.1.1 Diefstal/inbraak woning,2015,Beekdaelen,190.0,189.0
316,1.1.1 Diefstal/inbraak woning,2016,Beekdaelen,146.0,146.0
317,1.1.1 Diefstal/inbraak woning,2017,Beekdaelen,136.0,138.0
318,1.1.1 Diefstal/inbraak woning,2018,Beekdaelen,119.0,118.0
319,1.1.1 Diefstal/inbraak woning,2019,Beekdaelen,81.0,81.0
320,1.1.1 Diefstal/inbraak woning,2020,Beekdaelen,59.0,61.0
321,1.1.1 Diefstal/inbraak woning,2021,Beekdaelen,35.0,35.0
322,1.1.1 Diefstal/inbraak woning,2022,Beekdaelen,29.0,29.0
323,1.1.1 Diefstal/inbraak woning,2023,Beekdaelen,38.0,37.0
324,1.1.1 Diefstal/inbraak woning,2012,Beesel,53.0,53.0
325,1.1.1 Diefstal/inbraak woning,2013,Beesel,62.0,60.0
326,1.1.1 Diefstal/inbraak woning,2014,Beesel,57.0,57.0
327,1.1.1 Diefstal/inbraak woning,2015,Beesel,45.0,44.0
328,1.1.1 Diefstal/inbraak woning,2016,Beesel,38.0,38.0
329,1.1.1 Diefstal/inbraak woning,2017,Beesel,14.0,14.0
330,1.1.1 Diefstal/inbraak woning,2018,Beesel,28.0,28.0
331,1.1.1 Diefstal/inbraak woning,2019,Beesel,25.0,25.0
332,1.1.1 Diefstal/inbraak woning,2020,Beesel,21.0,19.0
333,1.1.1 Diefstal/inbraak woning,2021,Beesel,11.0,11.0
334,1.1.1 Diefstal/inbraak woning,2022,Beesel,9.0,9.0
335,1.1.1 Diefstal/inbraak woning,2023,Beesel,4.0,3.0
336,1.1.1 Diefstal/inbraak woning,2012,Berg en Dal,114.0,114.0
337,1.1.1 Diefstal/inbraak woning,2013,Berg en Dal,116.0,116.0
338,1.1.1 Diefstal/inbraak woning,2014,Berg en Dal,84.0,82.0
339,1.1.1 Diefstal/inbraak woning,2015,Berg en Dal,113.0,113.0
340,1.1.1 Diefstal/inbraak woning,2016,Berg en Dal,105.0,103.0
341,1.1.1 Diefstal/inbraak woning,2017,Berg en Dal,64.0,66.0
342,1.1.1 Diefstal/inbraak woning,2018,Berg en Dal,59.0,59.0
343,1.1.1 Diefstal/inbraak woning,2019,Berg en Dal,98.0,97.0
344,1.1.1 Diefstal/inbraak woning,2020,Berg en Dal,46.0,46.0
345,1.1.1 Diefstal/inbraak woning,2021,Berg en Dal,33.0,32.0
346,1.1.1 Diefstal/inbraak woning,2022,Berg en Dal,42.0,44.0
347,1.1.1 Diefstal/inbraak woning,2023,Berg en Dal,29.0,28.0
348,1.1.1 Diefstal/inbraak woning,2012,Bergeijk,163.0,164.0
349,1.1.1 Diefstal/inbraak woning,2013,Bergeijk,92.0,91.0
350,1.1.1 Diefstal/inbraak woning,2014,Bergeijk,50.0,49.0
351,1.1.1 Diefstal/inbraak woning,2015,Bergeijk,45.0,44.0
352,1.1.1 Diefstal/inbraak woning,2016,Bergeijk,47.0,46.0
353,1.1.1 Diefstal/inbraak woning,2017,Bergeijk,45.0,44.0
354,1.1.1 Diefstal/inbraak woning,2018,Bergeijk,47.0,46.0
355,1.1.1 Diefstal/inbraak woning,2019,Bergeijk,58.0,57.0
