"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.6.2 Overige vermogensdelicten"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Buyskade e.o.";"8";"10";"10";"16";"9";"15";"12";"16";"8";"13";"12";"11"
"Frederik Hendrikbuurt";"74";"54";"60";"48";"66";"46";"34";"49";"29";"54";"59";"43"
"Frederik Hendrikbuurt-Noord";"24";"22";"23";"15";"23";"21";"9";"17";"7";"34";"23";"18"
"Frederik Hendrikbuurt-Zuidwest";"8";"4";"15";"6";"13";"2";"5";"7";"3";"4";"12";"4"
"Frederik Hendrikbuurt-Zuidoost";"42";"28";"22";"27";"30";"23";"20";"25";"19";"16";"24";"21"
"Van Galenbuurt";"65";"51";"41";"52";"33";"41";"34";"22";"28";"32";"36";"37"
"Mercatorpark";"30";"24";"16";"19";"11";"12";"11";"9";"8";"6";"9";"18"
"Orteliusbuurt-Noord";"7";"6";"4";"10";"7";"8";"4";"4";"1";"9";"8";"2"
"Jan Maijenbuurt";"16";"14";"15";"7";"8";"15";"8";"8";"9";"11";"7";"14"
"John Franklinbuurt";"12";"7";"6";"16";"7";"6";"11";"1";"10";"6";"12";"3"
"Geuzenbuurt";"49";"39";"33";"41";"33";"27";"37";"42";"40";"47";"42";"37"
"Pieter van der Doesbuurt";"14";"9";"12";"15";"15";"9";"10";"16";"14";"10";"11";"19"
"Trompbuurt";"24";"22";"18";"21";"14";"16";"21";"21";"22";"31";"21";"13"
"Geuzenhofbuurt";"11";"8";"3";"5";"4";"2";"6";"5";"4";"6";"10";"5"
"Hoofdweg e.o.";"109";"89";"81";"72";"91";"62";"64";"58";"61";"43";"68";"60"
"Orteliusbuurt-Midden";"22";"17";"17";"10";"15";"11";"8";"10";"12";"14";"15";"10"
"Balboaplein e.o.";"47";"39";"35";"32";"44";"26";"23";"25";"24";"15";"29";"29"
"Orteliusbuurt-Zuid";"10";"7";"8";"13";"11";"7";"11";"7";"6";"5";"6";"9"
"Columbusplein e.o.";"30";"26";"21";"17";"21";"18";"22";"16";"19";"9";"18";"12"
"Chassébuurt";"55";"45";"25";"51";"31";"36";"32";"25";"37";"19";"32";"25"
"Filips van Almondekwartier";"11";"12";"7";"11";"2";"9";"4";"3";"9";"3";"3";"3"
"Kortenaerkwartier";"21";"20";"9";"16";"14";"18";"7";"12";"11";"9";"7";"14"
"Van Brakelkwartier";"17";"6";"4";"13";"9";"4";"10";"4";"6";"4";"14";"3"
"De Wester Quartier";"6";"7";"5";"11";"6";"5";"11";"6";"11";"3";"8";"5"
"Bellamybuurt";"79";"86";"63";"57";"77";"52";"59";"46";"56";"36";"59";"63"
"Bellamybuurt-Noord";"29";"31";"12";"22";"20";"13";"15";"14";"17";"13";"18";"19"
"Bellamybuurt-Zuid";"50";"55";"51";"35";"57";"39";"44";"32";"39";"23";"41";"44"
"Da Costabuurt";"86";"72";"73";"62";"68";"44";"43";"66";"71";"29";"42";"32"
"Da Costabuurt-Noord";"86";"72";"73";"62";"68";"44";"43";"66";"71";"29";"42";"32"
"Westindische Buurt";"42";"33";"29";"24";"28";"19";"29";"30";"37";"20";"32";"32"
"Postjeskade e.o.";"24";"12";"14";"9";"9";"6";"11";"13";"9";"9";"9";"18"
"Paramariboplein e.o.";"18";"21";"15";"15";"19";"13";"18";"17";"28";"11";"23";"14"
"Van Lennepbuurt";"119";"79";"65";"77";"64";"54";"71";"52";"63";"60";"73";"50"
"Lootsbuurt";"21";"11";"7";"15";"6";"10";"9";"2";"8";"10";"14";"8"
"Borgerbuurt";"65";"39";"36";"42";"39";"31";"38";"33";"34";"33";"42";"27"
"Da Costabuurt-Zuid";"33";"29";"22";"20";"19";"13";"24";"17";"21";"17";"17";"15"
"Overtoomse Sluis";"45";"65";"54";"38";"33";"34";"33";"43";"30";"28";"38";"38"
"Cremerbuurt-West";"31";"42";"39";"29";"24";"27";"21";"27";"19";"22";"27";"26"
"Vondelparkbuurt-West";"14";"23";"15";"9";"9";"7";"12";"16";"11";"6";"11";"12"
"Helmersbuurt";"133";"95";"98";"69";"75";"68";"74";"68";"56";"49";"59";"69"
"Cremerbuurt-Oost";"36";"15";"14";"14";"18";"15";"16";"10";"8";"15";"15";"23"
"WG-terrein";"57";"45";"44";"23";"21";"24";"16";"18";"20";"17";"21";"23"
"Helmersbuurt-Oost";"40";"35";"40";"32";"36";"29";"42";"40";"28";"17";"23";"23"
"Vondelparkbuurt";"94";"66";"81";"81";"74";"60";"60";"58";"22";"31";"54";"54"
