"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.3.1 Ongevallen (weg)"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Houthavens-Oost";"0";"0";"1";"1";"1";"1";"1";"0";"0";"0";"0";"1"
"De Kolenkit";"27";"37";"26";"27";"34";"37";"50";"58";"42";"33";"54";"48"
"Kolenkitbuurt-Noord";"11";"22";"6";"15";"15";"15";"16";"25";"23";"15";"22";"17"
"Kolenkitbuurt-Zuid";"8";"7";"9";"4";"8";"7";"20";"19";"10";"7";"8";"10"
"Laan van Spartaan";"2";"0";"1";"5";"3";"3";"4";"2";"2";"5";"8";"6"
"Robert Scottbuurt-West";"6";"8";"10";"3";"8";"12";"10";"12";"7";"6";"16";"15"
"Landlust";"75";"104";"76";"83";"69";"90";"78";"92";"108";"108";"120";"90"
"Bosleeuw";"34";"44";"23";"36";"32";"43";"30";"36";"40";"46";"44";"32"
"Gibraltarbuurt";"14";"17";"14";"17";"10";"18";"18";"17";"24";"24";"19";"21"
"Bedrijventerrein Landlust";"2";"7";"3";"6";"2";"6";"1";"6";"10";"9";"5";"8"
"Landlust-Noord";"6";"11";"5";"6";"7";"3";"7";"5";"9";"7";"12";"8"
"Erasmusparkbuurt-Oost";"9";"6";"10";"10";"5";"7";"8";"2";"9";"5";"15";"3"
"Landlust-Zuid";"10";"19";"21";"8";"13";"13";"14";"26";"16";"17";"25";"18"
"Erasmuspark";"32";"26";"19";"24";"26";"28";"40";"42";"37";"35";"43";"35"
"Robert Scottbuurt-Oost";"6";"4";"0";"5";"5";"11";"9";"12";"8";"6";"7";"8"
"Erasmusparkbuurt-West";"26";"22";"19";"19";"21";"17";"31";"30";"29";"29";"36";"27"
"Centrale Markt";"16";"13";"18";"14";"18";"19";"21";"20";"18";"13";"21";"21"
"Bedrijvencentrum Westerkwartier";"11";"4";"7";"4";"7";"7";"9";"6";"9";"3";"9";"13"
"GWL-terrein";"0";"0";"1";"3";"2";"1";"1";"3";"2";"2";"2";"1"
"Markthallen";"3";"4";"8";"4";"3";"3";"7";"7";"3";"2";"3";"1"
"Marcanti";"2";"5";"2";"3";"6";"8";"4";"4";"4";"6";"7";"6"
"Staatsliedenbuurt";"23";"36";"16";"26";"28";"32";"43";"34";"40";"32";"50";"34"
"Westerstaatsman";"5";"8";"4";"8";"4";"11";"6";"7";"7";"7";"9";"15"
"Fannius Scholtenbuurt";"5";"6";"1";"6";"5";"8";"13";"10";"11";"5";"11";"6"
"Staatsliedenbuurt-Noordoost";"0";"2";"1";"3";"6";"5";"8";"7";"4";"9";"8";"2"
"De Wittenbuurt-Noord";"7";"12";"7";"4";"7";"4";"8";"6";"11";"4";"6";"3"
"De Wittenbuurt-Zuid";"1";"4";"1";"1";"3";"1";"2";"1";"1";"1";"5";"2"
"Buyskade e.o.";"5";"4";"2";"4";"3";"3";"6";"3";"6";"6";"11";"6"
"Frederik Hendrikbuurt";"31";"18";"22";"26";"26";"30";"32";"17";"29";"33";"44";"42"
"Frederik Hendrikbuurt-Noord";"9";"7";"8";"7";"7";"9";"12";"5";"10";"9";"13";"8"
"Frederik Hendrikbuurt-Zuidwest";"4";"2";"3";"3";"1";"3";"5";"4";"3";"3";"8";"9"
"Frederik Hendrikbuurt-Zuidoost";"18";"9";"11";"16";"18";"18";"15";"8";"16";"21";"23";"25"
"Van Galenbuurt";"18";"20";"22";"25";"17";"20";"28";"31";"25";"35";"26";"31"
"Mercatorpark";"3";"4";"6";"5";"3";"7";"8";"9";"4";"7";"7";"3"
"Orteliusbuurt-Noord";"3";"3";"3";"6";"3";"2";"4";"3";"7";"7";"3";"4"
"Jan Maijenbuurt";"5";"9";"11";"10";"6";"5";"10";"11";"9";"7";"11";"10"
"John Franklinbuurt";"7";"4";"2";"4";"5";"6";"6";"8";"5";"14";"5";"14"
"Geuzenbuurt";"23";"19";"28";"35";"28";"27";"26";"29";"27";"31";"23";"32"
"Pieter van der Doesbuurt";"4";"3";"7";"7";"7";"5";"3";"7";"7";"8";"7";"13"
"Trompbuurt";"12";"9";"16";"14";"13";"13";"18";"16";"15";"15";"11";"12"
"Geuzenhofbuurt";"7";"7";"5";"14";"8";"9";"5";"6";"5";"8";"5";"7"
"Hoofdweg e.o.";"46";"46";"40";"28";"41";"38";"35";"41";"34";"52";"61";"48"
"Orteliusbuurt-Midden";"12";"15";"14";"10";"10";"8";"5";"7";"5";"8";"9";"10"
"Balboaplein e.o.";"11";"8";"14";"6";"17";"11";"9";"14";"10";"15";"23";"16"
"Orteliusbuurt-Zuid";"6";"6";"8";"2";"3";"9";"9";"7";"8";"6";"9";"7"
"Columbusplein e.o.";"17";"17";"4";"10";"11";"10";"12";"13";"11";"23";"20";"15"
"Chassébuurt";"15";"22";"22";"22";"24";"19";"24";"33";"22";"21";"23";"11"
"Filips van Almondekwartier";"4";"5";"3";"5";"2";"5";"2";"8";"6";"4";"5";"1"
"Kortenaerkwartier";"5";"10";"9";"6";"13";"9";"11";"11";"9";"8";"10";"4"
"Van Brakelkwartier";"2";"2";"7";"1";"4";"1";"6";"5";"2";"5";"3";"0"
"De Wester Quartier";"4";"5";"3";"10";"5";"4";"5";"9";"5";"4";"5";"6"
"Bellamybuurt";"31";"28";"31";"35";"36";"33";"36";"43";"29";"31";"31";"29"
"Bellamybuurt-Noord";"11";"12";"13";"10";"17";"14";"15";"20";"14";"12";"11";"12"
"Bellamybuurt-Zuid";"20";"16";"18";"25";"19";"19";"21";"23";"15";"19";"20";"17"
"Da Costabuurt";"33";"35";"27";"37";"34";"35";"39";"36";"35";"28";"34";"26"
"Da Costabuurt-Noord";"33";"35";"27";"37";"34";"35";"39";"36";"35";"28";"34";"26"
"Westindische Buurt";"28";"28";"35";"30";"21";"39";"40";"30";"41";"49";"44";"38"
"Postjeskade e.o.";"15";"13";"13";"13";"5";"24";"15";"5";"25";"17";"19";"11"
"Paramariboplein e.o.";"13";"15";"22";"17";"16";"15";"25";"25";"16";"32";"25";"27"
"Van Lennepbuurt";"26";"22";"30";"28";"42";"31";"28";"36";"22";"38";"36";"30"
"Lootsbuurt";"5";"6";"6";"4";"9";"10";"13";"6";"8";"7";"7";"9"
"Borgerbuurt";"15";"12";"16";"16";"16";"13";"10";"18";"6";"21";"19";"13"
"Da Costabuurt-Zuid";"6";"4";"8";"8";"17";"8";"5";"12";"8";"10";"10";"8"
"Overtoomse Sluis";"29";"29";"21";"39";"26";"21";"31";"24";"30";"29";"18";"33"
"Cremerbuurt-West";"20";"18";"13";"25";"18";"12";"14";"14";"20";"19";"12";"24"
"Vondelparkbuurt-West";"9";"11";"8";"14";"8";"9";"17";"10";"10";"10";"6";"9"
"Helmersbuurt";"44";"34";"28";"30";"38";"45";"48";"48";"32";"31";"50";"41"
"Cremerbuurt-Oost";"24";"5";"9";"9";"11";"10";"15";"10";"9";"11";"13";"12"
"WG-terrein";"10";"18";"9";"11";"15";"19";"14";"11";"11";"8";"17";"12"
"Helmersbuurt-Oost";"10";"11";"10";"10";"12";"16";"19";"27";"12";"12";"20";"17"
"Vondelparkbuurt";"45";"48";"28";"39";"43";"38";"36";"44";"29";"19";"43";"42"
"Vondelparkbuurt-Midden";"4";"5";"5";"9";"2";"7";"0";"4";"5";"1";"4";"8"
"Vondelparkbuurt-Oost";"41";"43";"23";"30";"41";"31";"36";"40";"24";"18";"39";"34"
"Sloterdijk Nieuw-West";"42";"47";"51";"37";"66";"92";"83";"105";"103";"105";"118";"103"
"Sloterdijk De Heining";"0";"1";"0";"2";"2";"2";"2";"4";"6";"5";"1";"1"
"Sloterdijk Poort-Noord";"0";"2";"5";"2";"13";"12";"13";"19";"22";"27";"16";"16"
"Sloterdijk Poort-Zuid";"10";"15";"11";"11";"12";"35";"35";"41";"42";"44";"56";"40"
"Sloterdijk Rhônepark";"4";"7";"7";"2";"10";"13";"6";"13";"15";"8";"8";"11"
"Sloterdijk Donauhoek";"2";"5";"4";"2";"3";"2";"6";"5";"4";"4";"9";"10"
"Bretten-West";"1";"1";"2";"0";"2";"3";"0";"0";"0";"0";"0";"2"
"Bretten-Oost";"1";"2";"0";"5";"4";"4";"3";"7";"7";"2";"9";"5"
"Sloterdijk Stationskwartier";"24";"14";"22";"13";"20";"21";"18";"16";"7";"15";"19";"18"
"Geuzenveld";"61";"67";"84";"88";"106";"108";"120";"94";"115";"121";"125";"115"
"Osdorper Binnenpolder";"5";"2";"8";"11";"6";"8";"11";"5";"11";"5";"6";"9"
"De Eendracht";"5";"6";"10";"6";"8";"7";"12";"10";"8";"10";"6";"10"
"Ruys de Beerenbrouckbuurt";"22";"23";"16";"20";"34";"23";"27";"18";"33";"39";"38";"33"
"Eendrachtspark";"1";"1";"1";"0";"1";"1";"3";"6";"1";"3";"1";"1"
"Van Tijenbuurt";"3";"5";"3";"9";"9";"20";"15";"7";"23";"15";"21";"19"
"Dudokbuurt";"11";"15";"22";"19";"23";"26";"24";"17";"15";"20";"22";"12"
"Bakemabuurt";"2";"7";"15";"16";"19";"13";"19";"18";"16";"16";"16";"16"
"Wegener Sleeswijkbuurt";"12";"8";"9";"7";"6";"10";"9";"13";"8";"13";"15";"15"
"Slotermeer-West";"56";"59";"57";"78";"92";"84";"86";"70";"72";"94";"92";"90"
"Jan de Louterbuurt";"22";"22";"31";"35";"48";"31";"38";"35";"35";"35";"42";"34"
"Lodewijk van Deysselbuurt";"21";"24";"14";"24";"19";"29";"24";"21";"15";"21";"30";"26"
"Confuciusbuurt";"13";"13";"12";"19";"25";"24";"24";"14";"22";"38";"20";"30"
"Slotermeer-Noordoost";"55";"50";"48";"61";"50";"61";"85";"67";"64";"79";"78";"76"
"Arondeusbuurt";"20";"14";"16";"15";"16";"13";"22";"21";"24";"22";"27";"26"
"Coronelbuurt";"5";"7";"3";"12";"8";"6";"8";"8";"4";"6";"5";"6"
"Meerwaldtbuurt";"15";"10";"12";"9";"12";"11";"25";"14";"14";"21";"16";"19"
"Dobbebuurt";"15";"19";"17";"25";"14";"31";"30";"24";"22";"30";"30";"25"
"Slotermeer-Zuidoost";"28";"40";"50";"36";"41";"59";"61";"63";"45";"75";"68";"53"
"Dichtersbuurt";"1";"6";"4";"1";"1";"9";"7";"11";"6";"8";"8";"4"
"Louis Couperusbuurt";"9";"12";"14";"12";"11";"13";"15";"15";"13";"25";"20";"20"
"Noordoever Sloterplas";"16";"20";"27";"20";"22";"27";"32";"33";"23";"33";"33";"23"
"Sloterpark";"2";"2";"5";"3";"7";"10";"7";"4";"3";"9";"7";"6"
"Lutkemeer/Ookmeer";"11";"12";"9";"19";"21";"23";"27";"24";"26";"22";"22";"19"
