"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.4.1 Zedenmisdrijf"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Westindische Buurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Postjeskade e.o.";".";".";".";".";".";".";".";".";".";".";".";"."
"Paramariboplein e.o.";".";".";".";".";".";".";".";".";".";".";".";"."
"Van Lennepbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Lootsbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Borgerbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Da Costabuurt-Zuid";".";".";".";".";".";".";".";".";".";".";".";"."
"Overtoomse Sluis";".";".";".";".";".";".";".";".";".";".";".";"."
"Cremerbuurt-West";".";".";".";".";".";".";".";".";".";".";".";"."
"Vondelparkbuurt-West";".";".";".";".";".";".";".";".";".";".";".";"."
"Helmersbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Cremerbuurt-Oost";".";".";".";".";".";".";".";".";".";".";".";"."
"WG-terrein";".";".";".";".";".";".";".";".";".";".";".";"."
"Helmersbuurt-Oost";".";".";".";".";".";".";".";".";".";".";".";"."
"Vondelparkbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Vondelparkbuurt-Midden";".";".";".";".";".";".";".";".";".";".";".";"."
"Vondelparkbuurt-Oost";".";".";".";".";".";".";".";".";".";".";".";"."
"Sloterdijk Nieuw-West";".";".";".";".";".";".";".";".";".";".";".";"."
"Sloterdijk De Heining";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sloterdijk Poort-Noord";".";".";".";".";".";".";".";".";".";".";".";"."
"Sloterdijk Poort-Zuid";".";".";".";".";".";".";".";".";".";".";".";"."
"Sloterdijk Rhônepark";".";".";".";".";".";".";".";".";".";".";".";"."
"Sloterdijk Donauhoek";".";".";".";".";".";".";".";".";".";".";".";"."
"Bretten-West";".";".";".";".";".";".";".";".";".";".";".";"."
"Bretten-Oost";".";".";".";".";".";".";".";".";".";".";".";"."
"Sloterdijk Stationskwartier";".";".";".";".";".";".";".";".";".";".";".";"."
"Geuzenveld";".";".";".";".";".";".";".";".";".";".";".";"."
"Osdorper Binnenpolder";".";".";".";".";".";".";".";".";".";".";".";"."
"De Eendracht";".";".";".";".";".";".";".";".";".";".";".";"."
"Ruys de Beerenbrouckbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Eendrachtspark";".";".";".";".";".";".";".";".";".";".";".";"."
"Van Tijenbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Dudokbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Bakemabuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Wegener Sleeswijkbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Slotermeer-West";".";".";".";".";".";".";".";".";".";".";".";"."
"Jan de Louterbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Lodewijk van Deysselbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Confuciusbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Slotermeer-Noordoost";".";".";".";".";".";".";".";".";".";".";".";"."
"Arondeusbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Coronelbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Meerwaldtbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Dobbebuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Slotermeer-Zuidoost";".";".";".";".";".";".";".";".";".";".";".";"."
"Dichtersbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Louis Couperusbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Noordoever Sloterplas";".";".";".";".";".";".";".";".";".";".";".";"."
"Sloterpark";".";".";".";".";".";".";".";".";".";".";".";"."
"Lutkemeer/Ookmeer";".";".";".";".";".";".";".";".";".";".";".";"."
"Osdorper Bovenpolder";".";".";".";".";".";".";".";".";".";".";".";"."
"Ookmeer";".";".";".";".";".";".";".";".";".";".";".";"."
"Bedrijvenpark Lutkemeer";".";".";".";".";".";".";".";".";".";".";".";"."
"De Aker";".";".";".";".";".";".";".";".";".";".";".";"."
"Middelveldsche Akerpolder";".";".";".";".";".";".";".";".";".";".";".";"."
"De Aker-West";".";".";".";".";".";".";".";".";".";".";".";"."
"De Aker-Oost";".";".";".";".";".";".";".";".";".";".";".";"."
"De Punt";".";".";".";".";".";".";".";".";".";".";".";"."
"Bedrijvencentrum Osdorp";".";".";".";".";".";".";".";".";".";".";".";"."
"Dijkgraafpleinbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Osdorp-Midden";".";".";".";".";".";".";".";".";".";".";".";"."
"Reimerswaal";".";".";".";".";".";".";".";".";".";".";".";"."
"Botteskerkbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Zuidwestkwadrant-Noord";".";".";".";".";".";".";".";".";".";".";".";"."
"Zuidwestkwadrant-Zuid";".";".";".";".";".";".";".";".";".";".";".";"."
"Osdorp-Oost";".";".";".";".";".";".";".";".";".";".";".";"."
"Wildeman";".";".";".";".";".";".";".";".";".";".";".";"."
"Meer en Oever";".";".";".";".";".";".";".";".";".";".";".";"."
"Osdorpplein e.o.";".";".";".";".";".";".";".";".";".";".";".";"."
"Calandlaan/Lelylaan";".";".";".";".";".";".";".";".";".";".";".";"."
"Osdorp-Zuidoost";".";".";".";".";".";".";".";".";".";".";".";"."
"Slotervaart-Noord";".";".";".";".";".";".";".";".";".";".";".";"."
"Oostoever Sloterplas";".";".";".";".";".";".";".";".";".";".";".";"."
"Emanuel van Meterenbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Jacob Geelbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Overtoomse Veld";".";".";".";".";".";".";".";".";".";".";".";"."
"Lucas/Andreasziekenhuis e.o.";".";".";".";".";".";".";".";".";".";".";".";"."
"Overtoomse Veld-Noord";".";".";".";".";".";".";".";".";".";".";".";"."
"Rembrandtpark-Noord";".";".";".";".";".";".";".";".";".";".";".";"."
"Overtoomse Veld-Zuid";".";".";".";".";".";".";".";".";".";".";".";"."
"Rembrandtpark-Zuid";".";".";".";".";".";".";".";".";".";".";".";"."
"Johan Jongkindbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Slotervaart-Zuid";".";".";".";".";".";".";".";".";".";".";".";"."
"Louis Crispijnbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Jacques Veldmanbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Medisch Centrum Slotervaart";".";".";".";".";".";".";".";".";".";".";".";"."
"Staalmanbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Westlandgracht";".";".";".";".";".";".";".";".";".";".";".";"."
"Schipluidenbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
