"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.4.5 Mishandeling"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Helmersbuurt";"23";"21";"33";"20";"25";"22";"15";"24";"26";"22";"27";"21"
"Cremerbuurt-Oost";"4";"7";"6";"5";"8";"5";"2";"5";"8";"8";"9";"2"
"WG-terrein";"10";"12";"20";"7";"10";"8";"8";"13";"15";"8";"7";"9"
"Helmersbuurt-Oost";"9";"2";"7";"8";"7";"9";"5";"6";"3";"6";"11";"10"
"Vondelparkbuurt";"16";"10";"10";"18";"13";"12";"10";"20";"9";"4";"17";"23"
"Vondelparkbuurt-Midden";"7";"1";"2";"2";"1";"4";"0";"4";"5";"1";"1";"1"
"Vondelparkbuurt-Oost";"9";"9";"8";"16";"12";"8";"10";"16";"4";"3";"16";"22"
"Sloterdijk Nieuw-West";"26";"38";"35";"25";"40";"39";"28";"48";"47";"46";"56";"70"
"Sloterdijk De Heining";"2";"1";"1";"1";"0";"0";"1";"1";"2";"0";"1";"1"
"Sloterdijk Poort-Noord";"1";"2";"1";"1";"3";"1";"1";"2";"5";"7";"6";"2"
"Sloterdijk Poort-Zuid";"1";"4";"1";"2";"8";"9";"8";"8";"14";"12";"7";"12"
"Sloterdijk Rhônepark";"11";"15";"16";"3";"5";"3";"2";"5";"3";"1";"7";"6"
"Sloterdijk Donauhoek";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"3";"2"
"Bretten-West";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0"
"Bretten-Oost";"1";"3";"3";"3";"3";"3";"2";"0";"6";"0";"1";"7"
"Sloterdijk Stationskwartier";"9";"11";"13";"15";"21";"23";"14";"28";"17";"26";"31";"40"
"Geuzenveld";"68";"62";"65";"57";"57";"65";"51";"57";"64";"44";"52";"69"
