"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.4.4 Bedreiging"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Landlust";"84";"87";"55";"61";"56";"52";"55";"68";"65";"50";"81";"47"
"Bosleeuw";"31";"36";"18";"27";"31";"23";"21";"28";"28";"26";"29";"17"
"Gibraltarbuurt";"14";"14";"17";"15";"14";"12";"13";"17";"17";"8";"16";"14"
"Bedrijventerrein Landlust";"1";"2";"1";"0";"1";"0";"1";"4";"2";"4";"6";"0"
"Landlust-Noord";"13";"9";"7";"7";"4";"9";"6";"3";"2";"2";"8";"8"
"Erasmusparkbuurt-Oost";"8";"9";"6";"3";"1";"4";"6";"3";"4";"1";"6";"3"
"Landlust-Zuid";"17";"17";"6";"9";"5";"4";"8";"13";"12";"9";"16";"5"
"Erasmuspark";"24";"14";"24";"13";"15";"16";"12";"11";"15";"18";"5";"14"
"Robert Scottbuurt-Oost";"5";"0";"4";"7";"3";"2";"2";"1";"2";"3";"0";"3"
"Erasmusparkbuurt-West";"19";"14";"20";"6";"12";"14";"10";"10";"13";"15";"5";"11"
"Centrale Markt";"10";"6";"4";"11";"0";"1";"7";"3";"6";"9";"6";"5"
"Bedrijvencentrum Westerkwartier";"2";"2";"0";"3";"0";"1";"0";"0";"1";"1";"1";"3"
"GWL-terrein";"3";"2";"2";"1";"0";"0";"0";"0";"2";"3";"2";"1"
"Markthallen";"0";"0";"0";"3";"0";"0";"2";"1";"1";"1";"2";"0"
"Marcanti";"5";"2";"2";"4";"0";"0";"5";"2";"2";"4";"1";"1"
"Staatsliedenbuurt";"31";"24";"32";"32";"32";"26";"27";"36";"28";"16";"33";"24"
"Westerstaatsman";"5";"5";"5";"7";"3";"7";"7";"10";"2";"4";"12";"5"
