"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.2.4 Zakkenrollerij"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Kolenkitbuurt-Noord";"3";"0";"5";"3";"4";"0";"1";"1";"2";"0";"0";"0"
"Kolenkitbuurt-Zuid";"2";"2";"4";"1";"1";"1";"0";"0";"0";"0";"0";"0"
"Laan van Spartaan";"0";"5";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Robert Scottbuurt-West";"6";"2";"2";"4";"5";"1";"6";"1";"0";"3";"2";"0"
"Landlust";"76";"86";"94";"69";"69";"58";"21";"19";"12";"7";"6";"10"
"Bosleeuw";"63";"66";"77";"53";"55";"47";"15";"9";"6";"5";"3";"5"
"Gibraltarbuurt";"2";"5";"4";"4";"5";"4";"2";"2";"2";"0";"1";"0"
"Bedrijventerrein Landlust";"0";"2";"0";"0";"1";"0";"0";"1";"1";"0";"0";"1"
"Landlust-Noord";"0";"4";"2";"3";"5";"0";"1";"2";"2";"1";"2";"1"
"Erasmusparkbuurt-Oost";"6";"6";"9";"5";"1";"5";"3";"2";"0";"1";"0";"0"
"Landlust-Zuid";"5";"3";"2";"4";"2";"2";"0";"3";"1";"0";"0";"3"
"Erasmuspark";"38";"17";"19";"9";"11";"9";"3";"6";"6";"4";"2";"5"
"Robert Scottbuurt-Oost";"0";"1";"0";"1";"0";"0";"0";"1";"0";"1";"0";"1"
"Erasmusparkbuurt-West";"38";"16";"19";"8";"11";"9";"3";"5";"6";"3";"2";"4"
"Centrale Markt";"6";"4";"8";"7";"10";"9";"7";"14";"3";"1";"6";"7"
"Bedrijvencentrum Westerkwartier";"2";"0";"1";"1";"1";"0";"2";"1";"0";"1";"3";"2"
"GWL-terrein";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
"Markthallen";"1";"3";"4";"4";"7";"8";"3";"12";"3";"0";"3";"3"
"Marcanti";"3";"1";"3";"1";"1";"1";"2";"1";"0";"0";"0";"2"
"Staatsliedenbuurt";"8";"10";"20";"16";"15";"10";"6";"12";"3";"3";"6";"8"
"Westerstaatsman";"1";"1";"4";"2";"3";"1";"2";"5";"1";"0";"0";"0"
"Fannius Scholtenbuurt";"2";"4";"3";"6";"1";"3";"2";"4";"0";"1";"1";"0"
"Staatsliedenbuurt-Noordoost";"3";"0";"5";"2";"5";"3";"1";"2";"2";"0";"2";"2"
"De Wittenbuurt-Noord";"0";"0";"3";"3";"4";"2";"1";"0";"0";"0";"2";"3"
"De Wittenbuurt-Zuid";"2";"3";"4";"3";"2";"1";"0";"0";"0";"1";"0";"2"
"Buyskade e.o.";"0";"2";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1"
"Frederik Hendrikbuurt";"7";"8";"15";"19";"8";"10";"13";"9";"4";"3";"6";"6"
"Frederik Hendrikbuurt-Noord";"3";"3";"5";"3";"3";"3";"5";"3";"1";"1";"1";"0"
"Frederik Hendrikbuurt-Zuidwest";"0";"0";"1";"5";"0";"3";"1";"1";"0";"1";"0";"2"
"Frederik Hendrikbuurt-Zuidoost";"4";"5";"9";"11";"5";"4";"7";"5";"3";"1";"5";"4"
"Van Galenbuurt";"7";"9";"14";"6";"16";"4";"7";"5";"4";"0";"4";"7"
"Mercatorpark";"2";"5";"4";"2";"6";"2";"6";"2";"1";"0";"4";"7"
