"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.2.3 Diefstal van brom-, snor-, fietsen"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Sloterdijk-West";"10";"6";"5";"7";"16";"14";"14";"15";"18";"9";"16";"21"
"Isolatorbuurt";"5";"2";"3";"4";"10";"6";"5";"11";"5";"3";"3";"9"
"Contactbuurt";"1";"0";"0";"0";"1";"3";"1";"3";"2";"3";"2";"2"
"Woon- en Groengebied Sloterdijk";"4";"4";"2";"3";"5";"5";"8";"1";"11";"3";"11";"10"
"Spaarndammerbuurt/Zeeheldenbuurt";"129";"132";"157";"147";"123";"100";"115";"112";"115";"73";"140";"146"
"Hemknoop-Zuid";"2";"0";"0";"1";"2";"0";"0";"1";"1";"1";"5";"3"
"Overbraker Binnenpolder";"1";"2";"2";"6";"3";"2";"2";"1";"1";"1";"2";"0"
"Zaanstraat emplacement";"1";"1";"1";"2";"3";"1";"2";"1";"0";"0";"1";"0"
"Spaarndammerbuurt-Noordwest";"14";"21";"26";"21";"19";"16";"20";"17";"12";"6";"17";"10"
"Spaarndammerbuurt-Midden";"14";"23";"22";"22";"12";"12";"20";"13";"17";"7";"19";"27"
"Spaarndammerbuurt-Zuidwest";"24";"18";"25";"19";"18";"18";"12";"17";"17";"15";"17";"27"
"Spaarndammerbuurt-Noordoost";"22";"20";"19";"25";"17";"18";"12";"13";"31";"18";"27";"21"
"Zeeheldenbuurt";"20";"15";"18";"18";"17";"12";"12";"11";"16";"9";"15";"11"
"Westergasfabriek";"22";"21";"31";"23";"24";"14";"22";"24";"10";"9";"30";"40"
"Spaarndammerbuurt-Zuidoost";"9";"11";"13";"10";"8";"7";"13";"14";"10";"7";"7";"7"
"Houthavens";"16";"20";"19";"9";"7";"5";"12";"13";"47";"29";"31";"53"
"Houthavens-West";"12";"11";"8";"4";"4";"1";"7";"11";"32";"26";"26";"48"
"Houthavens-Oost";"4";"9";"11";"5";"3";"4";"5";"2";"15";"3";"5";"5"
"De Kolenkit";"58";"89";"62";"64";"82";"58";"47";"66";"67";"76";"79";"85"
"Kolenkitbuurt-Noord";"13";"17";"16";"13";"27";"16";"14";"21";"23";"18";"25";"31"
"Kolenkitbuurt-Zuid";"19";"37";"19";"9";"16";"17";"11";"9";"14";"7";"9";"15"
"Laan van Spartaan";"12";"10";"20";"26";"15";"9";"15";"15";"19";"27";"29";"22"
"Robert Scottbuurt-West";"14";"25";"7";"16";"24";"16";"7";"21";"11";"24";"16";"17"
"Landlust";"233";"242";"212";"271";"244";"160";"158";"140";"171";"145";"176";"195"
"Bosleeuw";"61";"73";"60";"68";"54";"51";"35";"39";"42";"52";"56";"50"
"Gibraltarbuurt";"50";"29";"42";"60";"64";"22";"49";"31";"47";"24";"29";"43"
"Bedrijventerrein Landlust";"3";"2";"9";"11";"11";"7";"5";"5";"9";"7";"11";"18"
"Landlust-Noord";"15";"21";"22";"28";"21";"20";"15";"16";"12";"12";"22";"21"
"Erasmusparkbuurt-Oost";"47";"55";"27";"42";"22";"16";"17";"17";"16";"15";"15";"16"
"Landlust-Zuid";"57";"62";"52";"62";"72";"44";"37";"32";"45";"35";"43";"47"
"Erasmuspark";"85";"87";"84";"116";"67";"53";"45";"58";"36";"58";"55";"78"
"Robert Scottbuurt-Oost";"22";"19";"21";"30";"20";"15";"22";"19";"10";"16";"9";"19"
"Erasmusparkbuurt-West";"63";"68";"63";"86";"47";"38";"23";"39";"26";"42";"46";"59"
"Centrale Markt";"34";"33";"55";"60";"44";"35";"31";"45";"28";"26";"48";"42"
"Bedrijvencentrum Westerkwartier";"7";"3";"10";"4";"7";"3";"5";"8";"5";"3";"10";"15"
"GWL-terrein";"15";"18";"28";"30";"19";"18";"11";"14";"7";"13";"12";"15"
"Markthallen";"0";"3";"5";"7";"8";"3";"4";"5";"4";"0";"13";"1"
"Marcanti";"12";"9";"12";"19";"10";"11";"11";"18";"12";"10";"13";"11"
"Staatsliedenbuurt";"175";"173";"180";"286";"213";"125";"151";"137";"195";"98";"123";"141"
"Westerstaatsman";"41";"43";"52";"95";"43";"22";"40";"26";"60";"11";"37";"32"
"Fannius Scholtenbuurt";"38";"60";"56";"81";"53";"33";"38";"32";"39";"25";"31";"35"
"Staatsliedenbuurt-Noordoost";"14";"10";"17";"8";"13";"5";"10";"13";"10";"9";"8";"20"
"De Wittenbuurt-Noord";"35";"21";"14";"18";"34";"21";"18";"13";"19";"17";"16";"19"
"De Wittenbuurt-Zuid";"9";"10";"11";"13";"9";"4";"4";"7";"3";"8";"8";"10"
"Buyskade e.o.";"38";"29";"30";"71";"61";"40";"41";"46";"64";"28";"23";"25"
"Frederik Hendrikbuurt";"123";"181";"189";"197";"175";"116";"121";"118";"126";"106";"147";"134"
"Frederik Hendrikbuurt-Noord";"57";"89";"85";"78";"74";"47";"43";"52";"60";"43";"60";"46"
"Frederik Hendrikbuurt-Zuidwest";"7";"17";"19";"23";"16";"13";"13";"3";"20";"13";"24";"15"
"Frederik Hendrikbuurt-Zuidoost";"59";"75";"85";"96";"85";"56";"65";"63";"46";"50";"63";"73"
"Van Galenbuurt";"74";"74";"59";"83";"63";"61";"57";"66";"38";"54";"64";"60"
"Mercatorpark";"7";"11";"4";"6";"4";"7";"7";"6";"0";"6";"14";"8"
"Orteliusbuurt-Noord";"16";"19";"16";"30";"15";"16";"12";"11";"13";"11";"11";"20"
"Jan Maijenbuurt";"24";"25";"22";"27";"23";"17";"19";"23";"17";"20";"21";"17"
"John Franklinbuurt";"27";"19";"17";"20";"21";"21";"19";"26";"8";"17";"18";"15"
"Geuzenbuurt";"124";"112";"100";"94";"120";"82";"88";"99";"112";"93";"114";"89"
"Pieter van der Doesbuurt";"17";"19";"33";"25";"36";"25";"17";"27";"37";"35";"34";"20"
"Trompbuurt";"77";"77";"56";"45";"59";"41";"54";"53";"58";"45";"45";"50"
"Geuzenhofbuurt";"30";"16";"11";"24";"25";"16";"17";"19";"17";"13";"35";"19"
"Hoofdweg e.o.";"148";"132";"145";"193";"147";"167";"137";"116";"147";"102";"141";"137"
"Orteliusbuurt-Midden";"29";"35";"29";"51";"19";"32";"21";"20";"19";"20";"31";"33"
"Balboaplein e.o.";"41";"38";"46";"52";"42";"63";"44";"38";"40";"38";"41";"33"
"Orteliusbuurt-Zuid";"30";"19";"16";"24";"24";"27";"24";"16";"30";"24";"23";"23"
"Columbusplein e.o.";"48";"40";"54";"66";"62";"45";"48";"42";"58";"20";"46";"48"
"Chassébuurt";"101";"96";"68";"107";"66";"64";"53";"73";"69";"64";"72";"60"
"Filips van Almondekwartier";"17";"14";"10";"17";"4";"12";"4";"17";"20";"9";"10";"10"
"Kortenaerkwartier";"41";"43";"26";"43";"37";"16";"22";"31";"16";"17";"35";"18"
"Van Brakelkwartier";"22";"19";"14";"25";"12";"19";"9";"12";"11";"15";"17";"13"
"De Wester Quartier";"21";"20";"18";"22";"13";"17";"18";"13";"22";"23";"10";"19"
"Bellamybuurt";"110";"91";"115";"126";"115";"105";"118";"131";"141";"104";"121";"151"
"Bellamybuurt-Noord";"40";"33";"54";"52";"44";"40";"34";"51";"46";"32";"38";"46"
"Bellamybuurt-Zuid";"70";"58";"61";"74";"71";"65";"84";"80";"95";"72";"83";"105"
"Da Costabuurt";"102";"104";"131";"141";"109";"89";"92";"103";"118";"94";"112";"117"
"Da Costabuurt-Noord";"102";"104";"131";"141";"109";"89";"92";"103";"118";"94";"112";"117"
"Westindische Buurt";"124";"116";"98";"117";"92";"66";"98";"72";"75";"76";"129";"107"
"Postjeskade e.o.";"41";"39";"33";"39";"33";"28";"22";"30";"24";"36";"55";"40"
"Paramariboplein e.o.";"83";"77";"65";"78";"59";"38";"76";"42";"51";"40";"74";"67"
"Van Lennepbuurt";"106";"117";"136";"115";"138";"110";"140";"106";"121";"97";"105";"120"
"Lootsbuurt";"22";"33";"38";"30";"27";"34";"34";"19";"27";"26";"38";"25"
"Borgerbuurt";"49";"45";"46";"46";"54";"42";"59";"41";"40";"30";"37";"44"
"Da Costabuurt-Zuid";"35";"39";"52";"39";"57";"34";"47";"46";"54";"41";"30";"51"
"Overtoomse Sluis";"125";"167";"170";"153";"132";"107";"142";"99";"138";"88";"140";"122"
"Cremerbuurt-West";"98";"124";"126";"114";"100";"76";"94";"66";"93";"64";"95";"91"
