"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 3.7.4 Cybercrime"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"GWL-terrein";"0";"0";"0";"0";"0";"1";"1";"1";"0";"2";"4";"0"
"Markthallen";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Marcanti";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
"Staatsliedenbuurt";"0";"0";"0";"1";"2";"2";"4";"5";"9";"12";"14";"12"
"Westerstaatsman";"0";"0";"0";"0";"0";"0";"0";"2";"0";"3";"3";"8"
"Fannius Scholtenbuurt";"0";"0";"0";"0";"0";"1";"0";"0";"5";"3";"3";"1"
"Staatsliedenbuurt-Noordoost";"0";"0";"0";"1";"1";"1";"1";"1";"2";"0";"3";"0"
"De Wittenbuurt-Noord";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"2";"1"
"De Wittenbuurt-Zuid";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0"
"Buyskade e.o.";"0";"0";"0";"0";"1";"0";"1";"0";"2";"5";"1";"2"
"Frederik Hendrikbuurt";"1";"0";"4";"0";"1";"2";"2";"4";"7";"13";"5";"10"
"Frederik Hendrikbuurt-Noord";"1";"0";"1";"0";"0";"0";"2";"3";"3";"8";"4";"5"
"Frederik Hendrikbuurt-Zuidwest";"0";"0";"1";"0";"0";"1";"0";"0";"2";"1";"0";"1"
"Frederik Hendrikbuurt-Zuidoost";"0";"0";"2";"0";"1";"1";"0";"1";"2";"4";"1";"4"
"Van Galenbuurt";"1";"0";"0";"0";"1";"1";"0";"1";"8";"11";"3";"5"
"Mercatorpark";"0";"0";"0";"0";"0";"0";"0";"0";"1";"4";"1";"1"
"Orteliusbuurt-Noord";"1";"0";"0";"0";"0";"0";"0";"1";"1";"2";"0";"0"
"Jan Maijenbuurt";"0";"0";"0";"0";"0";"1";"0";"0";"3";"3";"1";"4"
"John Franklinbuurt";"0";"0";"0";"0";"1";"0";"0";"0";"3";"2";"1";"0"
"Geuzenbuurt";"0";"0";"0";"0";"1";"0";"1";"2";"2";"7";"3";"7"
"Pieter van der Doesbuurt";"0";"0";"0";"0";"1";"0";"0";"0";"1";"4";"0";"3"
"Trompbuurt";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2";"2";"3"
"Geuzenhofbuurt";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"1";"1"
"Hoofdweg e.o.";"0";"0";"0";"2";"2";"1";"3";"3";"3";"9";"5";"3"
"Orteliusbuurt-Midden";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0"
"Balboaplein e.o.";"0";"0";"0";"1";"2";"0";"1";"0";"0";"1";"1";"1"
"Orteliusbuurt-Zuid";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"0";"1"
"Columbusplein e.o.";"0";"0";"0";"1";"0";"1";"1";"1";"3";"5";"3";"1"
"Chassébuurt";"0";"0";"0";"1";"1";"0";"2";"2";"4";"6";"2";"5"
"Filips van Almondekwartier";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0"
"Kortenaerkwartier";"0";"0";"0";"0";"1";"0";"1";"0";"0";"4";"1";"2"
"Van Brakelkwartier";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2"
"De Wester Quartier";"0";"0";"0";"1";"0";"0";"0";"2";"2";"2";"0";"1"
"Bellamybuurt";"1";"0";"0";"1";"2";"2";"2";"0";"7";"4";"4";"6"
"Bellamybuurt-Noord";"0";"0";"0";"0";"1";"0";"1";"0";"3";"0";"2";"1"
