"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 3.9.1 Horizontale fraude"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Columbusplein e.o.";"10";"2";"6";"14";"16";"13";"16";"18";"16";"21";"28";"13"
"Chassébuurt";"3";"3";"5";"35";"34";"25";"38";"26";"39";"38";"29";"29"
"Filips van Almondekwartier";"0";"0";"1";"5";"7";"5";"10";"3";"2";"5";"4";"4"
"Kortenaerkwartier";"1";"2";"1";"14";"12";"10";"16";"12";"19";"13";"16";"20"
"Van Brakelkwartier";"2";"0";"0";"6";"6";"5";"1";"10";"3";"7";"3";"2"
"De Wester Quartier";"0";"1";"3";"10";"9";"5";"11";"1";"15";"13";"6";"3"
"Bellamybuurt";"9";"7";"8";"25";"26";"38";"29";"38";"36";"53";"36";"33"
"Bellamybuurt-Noord";"1";"1";"4";"13";"9";"18";"11";"12";"10";"19";"13";"12"
"Bellamybuurt-Zuid";"8";"6";"4";"12";"17";"20";"18";"26";"26";"34";"23";"21"
"Da Costabuurt";"8";"3";"3";"18";"19";"20";"21";"16";"42";"43";"35";"23"
"Da Costabuurt-Noord";"8";"3";"3";"18";"19";"20";"21";"16";"42";"43";"35";"23"
"Westindische Buurt";"4";"1";"5";"22";"32";"27";"28";"48";"58";"54";"29";"23"
"Postjeskade e.o.";"0";"1";"2";"16";"9";"12";"14";"16";"25";"26";"11";"15"
"Paramariboplein e.o.";"4";"0";"3";"6";"23";"15";"14";"32";"33";"28";"18";"8"
"Van Lennepbuurt";"14";"2";"4";"21";"32";"34";"36";"45";"52";"56";"38";"40"
"Lootsbuurt";"3";"0";"1";"3";"5";"6";"10";"11";"4";"8";"14";"12"
"Borgerbuurt";"7";"2";"3";"12";"13";"12";"17";"25";"43";"35";"12";"17"
"Da Costabuurt-Zuid";"4";"0";"0";"6";"14";"16";"9";"9";"5";"13";"12";"11"
"Overtoomse Sluis";"11";"3";"5";"23";"34";"36";"43";"51";"54";"48";"35";"46"
"Cremerbuurt-West";"9";"2";"3";"16";"20";"25";"33";"38";"39";"33";"28";"38"
"Vondelparkbuurt-West";"2";"1";"2";"7";"14";"11";"10";"13";"15";"15";"7";"8"
"Helmersbuurt";"20";"8";"7";"28";"30";"28";"34";"32";"64";"52";"33";"48"
"Cremerbuurt-Oost";"2";"2";"1";"9";"11";"7";"11";"15";"22";"16";"9";"16"
"WG-terrein";"0";"5";"5";"8";"8";"9";"11";"10";"21";"18";"14";"19"
"Helmersbuurt-Oost";"18";"1";"1";"11";"11";"12";"12";"7";"21";"18";"10";"13"
"Vondelparkbuurt";"4";"9";"7";"14";"21";"14";"14";"17";"15";"8";"9";"12"
"Vondelparkbuurt-Midden";"1";"0";"1";"2";"4";"3";"5";"5";"2";"5";"3";"4"
"Vondelparkbuurt-Oost";"3";"9";"6";"12";"17";"11";"9";"12";"13";"3";"6";"8"
"Sloterdijk Nieuw-West";"32";"13";"6";"21";"22";"28";"54";"48";"40";"59";"46";"39"
"Sloterdijk De Heining";"0";"0";"0";"0";"1";"1";"2";"1";"1";"2";"0";"1"
"Sloterdijk Poort-Noord";"0";"0";"0";"2";"0";"3";"2";"1";"1";"3";"0";"0"
"Sloterdijk Poort-Zuid";"1";"5";"3";"3";"2";"4";"16";"9";"9";"23";"16";"19"
"Sloterdijk Rhônepark";"0";"0";"0";"1";"2";"2";"2";"1";"3";"0";"1";"3"
"Sloterdijk Donauhoek";"0";"0";"0";"0";"1";"1";"3";"1";"4";"5";"2";"1"
"Bretten-West";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Bretten-Oost";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"2";"0"
"Sloterdijk Stationskwartier";"31";"8";"3";"15";"15";"16";"28";"35";"22";"26";"25";"14"
"Geuzenveld";"15";"9";"12";"45";"84";"73";"72";"91";"119";"160";"86";"103"
"Osdorper Binnenpolder";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"1";"1"
"De Eendracht";"1";"2";"1";"4";"8";"6";"6";"14";"18";"26";"3";"12"
"Ruys de Beerenbrouckbuurt";"2";"6";"3";"11";"26";"27";"19";"21";"32";"28";"34";"24"
"Eendrachtspark";"0";"0";"1";"2";"1";"0";"0";"0";"3";"3";"4";"1"
