"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.2.1 Diefstal uit/vanaf motorvoertuigen"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Overbraker Binnenpolder";"4";"16";"4";"4";"3";"4";"1";"6";"3";"15";"7";"1"
"Zaanstraat emplacement";"9";"8";"7";"9";"2";"3";"0";"3";"0";"3";"1";"0"
"Spaarndammerbuurt-Noordwest";"14";"11";"11";"11";"10";"7";"9";"4";"4";"2";"4";"6"
"Spaarndammerbuurt-Midden";"12";"1";"5";"5";"6";"1";"3";"2";"1";"4";"2";"2"
"Spaarndammerbuurt-Zuidwest";"6";"6";"6";"15";"3";"6";"4";"3";"9";"3";"2";"9"
"Spaarndammerbuurt-Noordoost";"20";"15";"7";"20";"6";"6";"1";"4";"7";"4";"3";"9"
"Zeeheldenbuurt";"12";"9";"10";"30";"4";"8";"2";"1";"3";"3";"0";"7"
"Westergasfabriek";"4";"3";"0";"1";"5";"8";"0";"2";"0";"1";"1";"1"
"Spaarndammerbuurt-Zuidoost";"7";"3";"3";"6";"0";"2";"3";"4";"4";"3";"2";"1"
"Houthavens";"7";"9";"6";"7";"2";"2";"1";"7";"5";"4";"2";"1"
"Houthavens-West";"6";"7";"3";"4";"0";"2";"1";"7";"5";"4";"2";"1"
"Houthavens-Oost";"1";"2";"3";"3";"2";"0";"0";"0";"0";"0";"0";"0"
"De Kolenkit";"81";"83";"64";"62";"35";"46";"43";"37";"56";"57";"46";"43"
"Kolenkitbuurt-Noord";"24";"34";"28";"25";"12";"20";"13";"11";"10";"18";"13";"13"
"Kolenkitbuurt-Zuid";"19";"13";"12";"12";"8";"6";"12";"10";"11";"12";"13";"5"
"Laan van Spartaan";"21";"14";"10";"16";"8";"8";"14";"9";"21";"13";"12";"12"
"Robert Scottbuurt-West";"17";"22";"14";"9";"7";"12";"4";"7";"14";"14";"8";"13"
"Landlust";"215";"222";"152";"142";"109";"189";"94";"44";"90";"86";"113";"113"
"Bosleeuw";"133";"151";"79";"92";"40";"138";"55";"22";"37";"23";"29";"36"
"Gibraltarbuurt";"20";"10";"20";"10";"14";"14";"20";"3";"14";"23";"20";"34"
"Bedrijventerrein Landlust";"8";"15";"9";"4";"4";"1";"4";"2";"4";"3";"15";"18"
"Landlust-Noord";"15";"11";"4";"12";"7";"3";"1";"8";"5";"6";"14";"12"
"Erasmusparkbuurt-Oost";"11";"14";"18";"8";"16";"12";"5";"2";"11";"12";"7";"4"
"Landlust-Zuid";"28";"21";"22";"16";"28";"21";"9";"7";"19";"19";"28";"9"
"Erasmuspark";"52";"48";"47";"36";"33";"24";"31";"13";"30";"43";"21";"23"
"Robert Scottbuurt-Oost";"9";"8";"7";"7";"10";"4";"13";"4";"15";"23";"6";"5"
"Erasmusparkbuurt-West";"43";"40";"40";"29";"23";"20";"18";"9";"15";"20";"15";"18"
"Centrale Markt";"98";"130";"97";"63";"127";"113";"15";"13";"20";"21";"24";"30"
"Bedrijvencentrum Westerkwartier";"82";"121";"80";"42";"120";"105";"10";"7";"11";"12";"15";"22"
"GWL-terrein";"4";"4";"12";"6";"3";"3";"1";"4";"4";"4";"4";"6"
"Markthallen";"6";"1";"4";"4";"2";"0";"2";"2";"2";"1";"2";"0"
"Marcanti";"6";"4";"1";"11";"2";"5";"2";"0";"3";"4";"3";"2"
"Staatsliedenbuurt";"47";"37";"43";"72";"42";"49";"22";"26";"27";"47";"29";"32"
"Westerstaatsman";"12";"8";"5";"15";"7";"7";"2";"4";"2";"9";"4";"4"
"Fannius Scholtenbuurt";"8";"6";"12";"16";"5";"4";"5";"5";"6";"9";"5";"8"
"Staatsliedenbuurt-Noordoost";"4";"0";"4";"11";"7";"4";"2";"2";"5";"4";"1";"5"
"De Wittenbuurt-Noord";"9";"9";"5";"23";"11";"13";"6";"8";"9";"10";"8";"6"
"De Wittenbuurt-Zuid";"1";"2";"1";"1";"3";"2";"0";"1";"1";"5";"3";"2"
"Buyskade e.o.";"13";"12";"16";"6";"9";"19";"7";"6";"4";"10";"8";"7"
"Frederik Hendrikbuurt";"50";"51";"61";"84";"50";"59";"40";"18";"35";"51";"52";"49"
"Frederik Hendrikbuurt-Noord";"18";"19";"21";"35";"24";"27";"19";"10";"18";"23";"19";"19"
"Frederik Hendrikbuurt-Zuidwest";"9";"10";"8";"2";"5";"4";"2";"2";"4";"6";"4";"2"
"Frederik Hendrikbuurt-Zuidoost";"23";"22";"32";"47";"21";"28";"19";"6";"13";"22";"29";"28"
"Van Galenbuurt";"46";"49";"39";"44";"46";"44";"43";"47";"35";"41";"31";"49"
"Mercatorpark";"23";"30";"17";"27";"17";"32";"33";"30";"8";"11";"12";"36"
"Orteliusbuurt-Noord";"6";"5";"1";"4";"4";"0";"5";"2";"7";"12";"3";"5"
"Jan Maijenbuurt";"11";"7";"7";"5";"14";"4";"0";"3";"10";"11";"6";"1"
"John Franklinbuurt";"6";"7";"14";"8";"11";"8";"5";"12";"10";"7";"10";"7"
"Geuzenbuurt";"41";"31";"30";"42";"39";"24";"17";"29";"34";"38";"36";"13"
"Pieter van der Doesbuurt";"16";"6";"4";"7";"10";"6";"6";"7";"6";"16";"9";"4"
"Trompbuurt";"11";"11";"21";"16";"13";"6";"5";"11";"17";"11";"17";"5"
"Geuzenhofbuurt";"14";"14";"5";"19";"16";"12";"6";"11";"11";"11";"10";"4"
"Hoofdweg e.o.";"67";"53";"70";"52";"73";"50";"41";"33";"65";"108";"50";"37"
"Orteliusbuurt-Midden";"16";"12";"16";"11";"10";"3";"8";"9";"14";"15";"15";"6"
"Balboaplein e.o.";"19";"19";"22";"24";"32";"22";"12";"15";"23";"36";"14";"11"
"Orteliusbuurt-Zuid";"9";"6";"10";"3";"8";"9";"8";"4";"12";"15";"8";"8"
"Columbusplein e.o.";"23";"16";"22";"14";"23";"16";"13";"5";"16";"42";"13";"12"
"Chassébuurt";"36";"38";"37";"25";"42";"22";"13";"12";"37";"36";"14";"15"
"Filips van Almondekwartier";"7";"9";"7";"8";"10";"3";"1";"5";"14";"6";"4";"1"
"Kortenaerkwartier";"15";"13";"15";"10";"15";"8";"6";"3";"12";"15";"4";"5"
"Van Brakelkwartier";"5";"6";"6";"5";"9";"9";"5";"0";"3";"8";"2";"4"
"De Wester Quartier";"9";"10";"9";"2";"8";"2";"1";"4";"8";"7";"4";"5"
"Bellamybuurt";"40";"13";"20";"29";"44";"19";"19";"20";"28";"46";"26";"24"
"Bellamybuurt-Noord";"15";"4";"11";"10";"11";"4";"5";"9";"10";"19";"7";"9"
"Bellamybuurt-Zuid";"25";"9";"9";"19";"33";"15";"14";"11";"18";"27";"19";"15"
"Da Costabuurt";"34";"57";"48";"45";"25";"33";"27";"27";"35";"53";"34";"23"
"Da Costabuurt-Noord";"34";"57";"48";"45";"25";"33";"27";"27";"35";"53";"34";"23"
"Westindische Buurt";"36";"28";"36";"24";"45";"42";"36";"30";"58";"92";"35";"28"
"Postjeskade e.o.";"9";"4";"3";"10";"18";"16";"11";"10";"24";"38";"9";"7"
"Paramariboplein e.o.";"27";"24";"33";"14";"27";"26";"25";"20";"34";"54";"26";"21"
"Van Lennepbuurt";"40";"31";"29";"37";"40";"39";"16";"20";"39";"39";"32";"27"
"Lootsbuurt";"11";"4";"7";"12";"8";"11";"0";"8";"8";"7";"8";"8"
"Borgerbuurt";"15";"17";"8";"16";"15";"17";"11";"6";"15";"19";"15";"15"
"Da Costabuurt-Zuid";"14";"10";"14";"9";"17";"11";"5";"6";"16";"13";"9";"4"
"Overtoomse Sluis";"84";"37";"32";"33";"36";"30";"23";"14";"48";"38";"41";"18"
"Cremerbuurt-West";"68";"30";"20";"23";"28";"22";"18";"13";"42";"20";"32";"14"
"Vondelparkbuurt-West";"16";"7";"12";"10";"8";"8";"5";"1";"6";"18";"9";"4"
"Helmersbuurt";"66";"61";"68";"60";"71";"61";"78";"68";"80";"70";"89";"110"
"Cremerbuurt-Oost";"19";"14";"15";"3";"18";"12";"7";"11";"20";"16";"17";"13"
"WG-terrein";"11";"12";"19";"9";"19";"11";"18";"23";"25";"19";"26";"23"
"Helmersbuurt-Oost";"36";"35";"34";"48";"34";"38";"53";"34";"35";"35";"46";"74"
"Vondelparkbuurt";"55";"136";"111";"95";"104";"116";"97";"48";"43";"42";"92";"66"
"Vondelparkbuurt-Midden";"11";"8";"8";"3";"10";"4";"4";"5";"3";"6";"6";"5"
"Vondelparkbuurt-Oost";"44";"128";"103";"92";"94";"112";"93";"43";"40";"36";"86";"61"
"Sloterdijk Nieuw-West";"148";"232";"186";"173";"227";"247";"160";"150";"192";"134";"156";"252"
"Sloterdijk De Heining";"2";"3";"5";"1";"1";"0";"3";"3";"2";"1";"2";"2"
"Sloterdijk Poort-Noord";"6";"3";"4";"5";"1";"9";"9";"1";"2";"0";"2";"0"
"Sloterdijk Poort-Zuid";"12";"21";"10";"12";"5";"9";"27";"28";"36";"17";"14";"12"
"Sloterdijk Rhônepark";"75";"90";"73";"62";"67";"103";"62";"46";"30";"30";"50";"125"
"Sloterdijk Donauhoek";"11";"19";"12";"13";"3";"13";"3";"2";"2";"4";"3";"7"
"Bretten-West";"1";"1";"2";"0";"0";"1";"0";"3";"0";"0";"1";"0"
"Bretten-Oost";"10";"25";"13";"17";"13";"19";"5";"23";"14";"5";"23";"18"
"Sloterdijk Stationskwartier";"31";"70";"67";"63";"137";"93";"51";"44";"106";"77";"61";"88"
"Geuzenveld";"128";"153";"113";"118";"111";"145";"118";"100";"106";"120";"80";"74"
"Osdorper Binnenpolder";"10";"5";"5";"17";"4";"10";"3";"12";"2";"9";"18";"33"
"De Eendracht";"24";"26";"11";"18";"6";"7";"8";"12";"13";"18";"10";"5"
"Ruys de Beerenbrouckbuurt";"35";"42";"42";"30";"37";"44";"42";"20";"36";"28";"15";"17"
"Eendrachtspark";"5";"11";"7";"10";"2";"2";"9";"4";"3";"2";"1";"1"
"Van Tijenbuurt";"9";"17";"8";"12";"15";"14";"7";"14";"15";"8";"10";"8"
"Dudokbuurt";"16";"22";"13";"11";"15";"17";"10";"6";"11";"12";"11";"4"
"Bakemabuurt";"21";"15";"16";"16";"18";"37";"31";"21";"16";"25";"8";"3"
"Wegener Sleeswijkbuurt";"8";"15";"11";"4";"14";"14";"8";"11";"10";"18";"7";"3"
"Slotermeer-West";"102";"91";"97";"78";"85";"78";"76";"68";"97";"84";"79";"74"
"Jan de Louterbuurt";"61";"58";"48";"36";"25";"27";"32";"30";"62";"44";"44";"46"
"Lodewijk van Deysselbuurt";"22";"14";"22";"20";"33";"22";"17";"21";"16";"20";"9";"8"
"Confuciusbuurt";"19";"19";"27";"22";"27";"29";"27";"17";"19";"20";"26";"20"
"Slotermeer-Noordoost";"151";"115";"115";"67";"64";"46";"44";"44";"59";"69";"94";"74"
"Arondeusbuurt";"38";"32";"23";"11";"7";"11";"14";"14";"19";"13";"14";"15"
"Coronelbuurt";"22";"17";"16";"7";"8";"8";"5";"5";"9";"5";"16";"5"
"Meerwaldtbuurt";"33";"38";"26";"17";"17";"12";"11";"9";"11";"22";"25";"25"
"Dobbebuurt";"58";"28";"50";"32";"32";"15";"14";"16";"20";"29";"39";"29"
"Slotermeer-Zuidoost";"231";"149";"152";"82";"87";"81";"78";"76";"73";"71";"90";"62"
"Dichtersbuurt";"13";"0";"17";"9";"11";"9";"29";"22";"16";"10";"17";"16"
"Louis Couperusbuurt";"74";"67";"38";"26";"20";"24";"24";"16";"20";"22";"22";"17"
"Noordoever Sloterplas";"141";"77";"84";"44";"52";"42";"25";"32";"31";"38";"44";"25"
"Sloterpark";"3";"5";"13";"3";"4";"6";"0";"6";"6";"1";"7";"4"
"Lutkemeer/Ookmeer";"29";"21";"13";"22";"9";"25";"17";"9";"8";"8";"16";"9"
"Osdorper Bovenpolder";"7";"10";"7";"6";"1";"1";"0";"1";"2";"1";"2";"2"
"Ookmeer";"20";"8";"6";"15";"6";"22";"14";"7";"0";"6";"12";"4"
"Bedrijvenpark Lutkemeer";"2";"3";"0";"1";"2";"2";"3";"1";"6";"1";"2";"3"
"De Aker";"90";"101";"93";"55";"52";"60";"67";"28";"54";"63";"76";"38"
"Middelveldsche Akerpolder";"26";"20";"23";"9";"10";"10";"18";"5";"7";"12";"14";"9"
"De Aker-West";"31";"39";"29";"21";"15";"23";"20";"12";"28";"30";"26";"12"
"De Aker-Oost";"33";"42";"41";"25";"27";"27";"29";"11";"19";"21";"36";"17"
"De Punt";"87";"84";"56";"59";"44";"70";"84";"50";"45";"42";"82";"59"
"Bedrijvencentrum Osdorp";"6";"6";"9";"15";"6";"18";"24";"3";"8";"15";"8";"23"
"Dijkgraafpleinbuurt";"81";"78";"47";"44";"38";"52";"60";"47";"37";"27";"74";"36"
"Osdorp-Midden";"212";"251";"120";"134";"128";"222";"170";"96";"81";"62";"57";"92"
"Reimerswaal";"64";"94";"32";"54";"54";"136";"85";"24";"35";"16";"21";"36"
"Botteskerkbuurt";"30";"41";"18";"23";"11";"20";"28";"11";"11";"7";"10";"8"
"Zuidwestkwadrant-Noord";"47";"42";"35";"23";"24";"18";"22";"18";"11";"12";"4";"23"
"Zuidwestkwadrant-Zuid";"71";"74";"35";"34";"39";"48";"35";"43";"24";"27";"22";"25"
"Osdorp-Oost";"209";"200";"137";"109";"112";"183";"132";"68";"73";"67";"96";"75"
"Wildeman";"59";"49";"40";"34";"38";"44";"54";"12";"16";"14";"23";"16"
"Meer en Oever";"44";"43";"15";"8";"16";"27";"13";"8";"15";"10";"15";"6"
"Osdorpplein e.o.";"38";"41";"36";"20";"24";"73";"32";"23";"16";"18";"19";"30"
"Calandlaan/Lelylaan";"17";"23";"16";"14";"11";"11";"12";"9";"4";"8";"9";"6"
"Osdorp-Zuidoost";"51";"44";"30";"33";"23";"28";"21";"16";"22";"17";"30";"17"
"Slotervaart-Noord";"68";"66";"69";"56";"97";"88";"67";"53";"57";"38";"62";"51"
"Oostoever Sloterplas";"23";"23";"12";"14";"11";"11";"5";"12";"10";"7";"27";"8"
"Emanuel van Meterenbuurt";"17";"14";"36";"7";"14";"8";"10";"6";"5";"8";"9";"6"
"Jacob Geelbuurt";"28";"29";"21";"35";"72";"69";"52";"35";"42";"23";"26";"37"
"Overtoomse Veld";"120";"99";"97";"140";"133";"130";"88";"80";"113";"88";"68";"80"
"Lucas/Andreasziekenhuis e.o.";"1";"9";"13";"19";"16";"11";"17";"16";"7";"5";"4";"2"
"Overtoomse Veld-Noord";"29";"24";"20";"28";"17";"12";"8";"14";"44";"22";"13";"13"
"Rembrandtpark-Noord";"28";"25";"30";"34";"48";"43";"32";"35";"32";"20";"27";"30"
"Overtoomse Veld-Zuid";"26";"18";"13";"30";"24";"22";"9";"6";"13";"22";"9";"15"
"Rembrandtpark-Zuid";"30";"20";"16";"24";"22";"30";"19";"7";"12";"16";"8";"10"
"Johan Jongkindbuurt";"6";"3";"5";"5";"6";"12";"3";"2";"5";"3";"7";"10"
"Slotervaart-Zuid";"77";"74";"43";"52";"72";"49";"57";"45";"26";"50";"38";"30"
"Louis Crispijnbuurt";"18";"29";"16";"18";"19";"13";"15";"24";"6";"21";"16";"14"
"Jacques Veldmanbuurt";"19";"20";"7";"18";"29";"18";"26";"8";"6";"9";"5";"4"
"Medisch Centrum Slotervaart";"7";"2";"6";"10";"12";"5";"2";"2";"1";"3";"2";"3"
"Staalmanbuurt";"33";"23";"14";"6";"12";"13";"14";"11";"13";"17";"15";"9"
"Westlandgracht";"166";"121";"111";"107";"140";"105";"106";"65";"80";"71";"54";"55"
"Schipluidenbuurt";"4";"6";"0";"1";"5";"6";"8";"6";"12";"12";"5";"6"
"Koningin Wilhelminaplein";"49";"38";"26";"35";"46";"40";"22";"17";"22";"16";"10";"16"
"Andreasterrein";"52";"30";"23";"29";"33";"21";"25";"7";"29";"14";"6";"11"
"Delflandpleinbuurt-West";"37";"36";"40";"28";"38";"29";"29";"25";"10";"18";"19";"16"
"Delflandpleinbuurt-Oost";"23";"7";"19";"14";"18";"8";"21";"6";"6";"8";"9";"5"
"Riekerhaven";"1";"4";"3";"0";"0";"1";"1";"4";"1";"3";"5";"1"
"Sloten/Nieuw-Sloten";"139";"126";"113";"127";"95";"98";"106";"63";"72";"73";"93";"77"
"Dorp Sloten";"10";"9";"7";"2";"1";"3";"5";"1";"3";"4";"7";"6"
"Nieuw-Sloten-Noordwest";"27";"19";"19";"16";"13";"16";"9";"11";"19";"6";"11";"5"
"Nieuw-Sloten-Noordoost";"26";"18";"12";"20";"10";"19";"19";"9";"14";"13";"9";"11"
"Nieuw-Sloten-Zuidwest";"21";"16";"10";"14";"5";"11";"14";"12";"8";"12";"8";"7"
"Belgiëplein e.o.";"7";"8";"7";"6";"12";"4";"11";"1";"5";"11";"3";"6"
