"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.5.2 Diefstallen (water)"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Houthavens";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Houthavens-West";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Houthavens-Oost";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"De Kolenkit";"6";"8";"0";"2";"1";"0";"0";"0";"2";"3";"2";"2"
"Kolenkitbuurt-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kolenkitbuurt-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Laan van Spartaan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Robert Scottbuurt-West";"6";"8";"0";"2";"1";"0";"0";"0";"2";"1";"2";"2"
"Landlust";"4";"3";"2";"5";"3";"1";"3";"4";"4";"2";"2";"1"
"Bosleeuw";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gibraltarbuurt";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Bedrijventerrein Landlust";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Landlust-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Erasmusparkbuurt-Oost";"2";"0";"1";"1";"1";"0";"1";"1";"2";"1";"0";"0"
"Landlust-Zuid";"2";"2";"1";"3";"2";"1";"2";"3";"2";"1";"2";"1"
"Erasmuspark";"1";"7";"2";"1";"1";"3";"0";"2";"0";"3";"0";"0"
"Robert Scottbuurt-Oost";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
"Erasmusparkbuurt-West";"1";"6";"2";"1";"0";"2";"0";"2";"0";"3";"0";"0"
"Centrale Markt";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"Bedrijvencentrum Westerkwartier";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"GWL-terrein";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Markthallen";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Marcanti";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Staatsliedenbuurt";"0";"3";"7";"2";"1";"1";"3";"1";"2";"2";"1";"0"
"Westerstaatsman";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Fannius Scholtenbuurt";"0";"1";"4";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"Staatsliedenbuurt-Noordoost";"0";"0";"2";"0";"1";"1";"1";"1";"1";"1";"0";"0"
"De Wittenbuurt-Noord";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"De Wittenbuurt-Zuid";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Buyskade e.o.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Frederik Hendrikbuurt";"5";"8";"3";"2";"2";"1";"3";"1";"1";"1";"0";"0"
"Frederik Hendrikbuurt-Noord";"2";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Frederik Hendrikbuurt-Zuidwest";"2";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Frederik Hendrikbuurt-Zuidoost";"1";"3";"3";"2";"2";"1";"3";"0";"0";"1";"0";"0"
"Van Galenbuurt";"2";"2";"2";"2";"1";"1";"0";"2";"1";"1";"0";"0"
"Mercatorpark";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Orteliusbuurt-Noord";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Jan Maijenbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"John Franklinbuurt";"2";"2";"2";"2";"0";"1";"0";"2";"1";"1";"0";"0"
"Geuzenbuurt";"2";"10";"2";"2";"4";"2";"1";"0";"2";"4";"1";"1"
"Pieter van der Doesbuurt";"1";"3";"0";"2";"2";"1";"0";"0";"0";"1";"1";"0"
"Trompbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Geuzenhofbuurt";"1";"7";"2";"0";"2";"1";"1";"0";"2";"3";"0";"1"
"Hoofdweg e.o.";"4";"2";"5";"8";"3";"5";"5";"0";"2";"1";"2";"1"
"Orteliusbuurt-Midden";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Balboaplein e.o.";"3";"2";"1";"6";"2";"1";"4";"0";"1";"1";"1";"1"
"Orteliusbuurt-Zuid";"1";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0"
"Columbusplein e.o.";"0";"0";"3";"2";"1";"2";"1";"0";"1";"0";"1";"0"
"Chassébuurt";"2";"1";"4";"2";"3";"2";"2";"1";"1";"1";"0";"0"
"Filips van Almondekwartier";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0"
