"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.1.1 Diefstal/inbraak woning"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Coenhaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vlothaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Noordoost";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Noordwest";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Zuidwest";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Zuidoost";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Alfa-driehoek";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hemknoop-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sloterdijk-West";"4";"5";"3";"4";"6";"5";"5";"3";"17";"5";"5";"4"
"Isolatorbuurt";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0"
"Contactbuurt";"0";"2";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"Woon- en Groengebied Sloterdijk";"4";"3";"3";"2";"5";"5";"4";"3";"17";"5";"4";"4"
"Spaarndammerbuurt/Zeeheldenbuurt";"75";"75";"59";"38";"51";"45";"20";"45";"26";"28";"20";"20"
"Hemknoop-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Overbraker Binnenpolder";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Zaanstraat emplacement";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
