"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.4.6 Straatroof"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Vondelparkbuurt-Midden";"0";"2";"3";"1";"0";"0";"3";"0";"0";"0";"1";"0"
"Vondelparkbuurt-Oost";"6";"7";"11";"8";"6";"4";"13";"16";"5";"3";"1";"3"
"Sloterdijk Nieuw-West";"8";"11";"14";"10";"9";"9";"17";"19";"17";"16";"15";"13"
"Sloterdijk De Heining";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1"
"Sloterdijk Poort-Noord";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0"
"Sloterdijk Poort-Zuid";"0";"0";"0";"0";"0";"0";"3";"2";"1";"4";"4";"0"
"Sloterdijk Rhônepark";"2";"0";"1";"0";"1";"0";"1";"1";"1";"1";"3";"2"
"Sloterdijk Donauhoek";"1";"1";"1";"0";"0";"0";"3";"1";"3";"0";"1";"2"
"Bretten-West";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bretten-Oost";"0";"0";"1";"1";"1";"0";"3";"1";"1";"0";"0";"1"
"Sloterdijk Stationskwartier";"5";"9";"11";"9";"6";"9";"6";"13";"10";"11";"7";"7"
"Geuzenveld";"8";"11";"7";"7";"15";"6";"15";"11";"10";"9";"11";"10"
"Osdorper Binnenpolder";"0";"1";"0";"0";"1";"1";"1";"0";"0";"2";"3";"1"
"De Eendracht";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0"
"Ruys de Beerenbrouckbuurt";"1";"6";"2";"3";"4";"0";"4";"3";"2";"3";"1";"3"
"Eendrachtspark";"0";"0";"0";"0";"2";"0";"0";"0";"1";"1";"0";"1"
"Van Tijenbuurt";"1";"0";"1";"1";"0";"0";"2";"1";"3";"0";"2";"1"
"Dudokbuurt";"3";"1";"2";"1";"1";"2";"5";"2";"2";"3";"1";"2"
"Bakemabuurt";"3";"1";"1";"2";"5";"2";"2";"3";"1";"0";"0";"2"
"Wegener Sleeswijkbuurt";"0";"1";"1";"0";"2";"0";"0";"2";"1";"0";"3";"0"
"Slotermeer-West";"20";"17";"11";"12";"9";"9";"10";"5";"4";"5";"5";"3"
"Jan de Louterbuurt";"9";"10";"6";"5";"2";"4";"6";"1";"1";"3";"2";"0"
"Lodewijk van Deysselbuurt";"6";"4";"3";"3";"2";"4";"2";"3";"2";"2";"2";"1"
"Confuciusbuurt";"5";"3";"2";"4";"5";"1";"2";"1";"1";"0";"1";"2"
