"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 3.9.3 Fraude (overig)"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Petroleumhaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vervoerscentrum";"0";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Westhaven-Zuid";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Coenhaven/Minervahaven";"5";"6";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0"
"Coenhaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vlothaven";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Noordoost";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Noordwest";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Zuidwest";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Zuidoost";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Alfa-driehoek";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Hemknoop-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sloterdijk-West";"7";"6";"12";"2";"1";"1";"1";"2";"0";"0";"0";"0"
"Isolatorbuurt";"6";"3";"10";"1";"1";"0";"1";"0";"0";"0";"0";"0"
"Contactbuurt";"1";"3";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0"
"Woon- en Groengebied Sloterdijk";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Spaarndammerbuurt/Zeeheldenbuurt";"18";"16";"15";"13";"6";"4";"1";"2";"1";"1";"1";"0"
"Hemknoop-Zuid";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Overbraker Binnenpolder";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Zaanstraat emplacement";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spaarndammerbuurt-Noordwest";"2";"3";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Spaarndammerbuurt-Midden";"2";"1";"1";"4";"0";"1";"0";"0";"0";"0";"0";"0"
"Spaarndammerbuurt-Zuidwest";"4";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Spaarndammerbuurt-Noordoost";"6";"3";"4";"4";"1";"1";"0";"2";"1";"1";"1";"0"
"Zeeheldenbuurt";"3";"2";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Westergasfabriek";"1";"0";"2";"0";"4";"2";"1";"0";"0";"0";"0";"0"
"Spaarndammerbuurt-Zuidoost";"0";"4";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0"
"Houthavens";"2";"1";"6";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Houthavens-West";"0";"0";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Houthavens-Oost";"2";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"De Kolenkit";"21";"12";"7";"6";"0";"1";"0";"1";"0";"2";"0";"0"
"Kolenkitbuurt-Noord";"10";"3";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Kolenkitbuurt-Zuid";"5";"4";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"Laan van Spartaan";"0";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"Robert Scottbuurt-West";"6";"3";"2";"2";"0";"1";"0";"1";"0";"1";"0";"0"
"Landlust";"29";"33";"36";"14";"4";"0";"1";"1";"2";"1";"0";"1"
"Bosleeuw";"10";"12";"16";"2";"1";"0";"0";"0";"1";"0";"0";"0"
"Gibraltarbuurt";"6";"8";"5";"4";"1";"0";"0";"0";"0";"0";"0";"0"
"Bedrijventerrein Landlust";"2";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Landlust-Noord";"5";"5";"5";"2";"0";"0";"0";"1";"0";"1";"0";"1"
"Erasmusparkbuurt-Oost";"1";"3";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0"
"Landlust-Zuid";"5";"4";"4";"4";"0";"0";"1";"0";"1";"0";"0";"0"
"Erasmuspark";"15";"4";"8";"5";"2";"1";"0";"0";"0";"0";"0";"0"
