"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 2.5.1 Diefstal/inbraak bedrijven enz."
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Havens-West";"40";"34";"45";"30";"18";"26";"25";"28";"21";"12";"17";"10"
"Afrikahaven";"2";"3";"5";"5";"1";"4";"4";"2";"6";"2";"3";"1"
"Amerikahaven";"8";"14";"21";"8";"3";"6";"5";"7";"3";"4";"3";"0"
"Westhaven-Noord";"7";"7";"5";"9";"6";"9";"1";"6";"8";"3";"1";"1"
"Petroleumhaven";"4";"1";"4";"2";"2";"1";"7";"6";"2";"0";"2";"3"
"Vervoerscentrum";"11";"4";"3";"2";"4";"4";"7";"5";"2";"2";"6";"5"
"Westhaven-Zuid";"8";"5";"7";"4";"2";"2";"1";"2";"0";"1";"2";"0"
"Coenhaven/Minervahaven";"28";"24";"23";"19";"13";"12";"21";"26";"20";"19";"12";"21"
"Coenhaven";"1";"2";"1";"0";"1";"0";"3";"2";"1";"0";"0";"2"
"Vlothaven";"1";"1";"2";"1";"0";"0";"0";"0";"1";"0";"1";"1"
"Minervahaven-Noordoost";"6";"4";"3";"5";"1";"2";"6";"11";"4";"6";"5";"3"
"Minervahaven-Noordwest";"1";"1";"4";"3";"2";"3";"2";"3";"5";"3";"1";"1"
"Minervahaven-Zuidwest";"5";"4";"0";"2";"2";"1";"1";"0";"1";"0";"0";"1"
"Minervahaven-Zuidoost";"5";"7";"3";"4";"0";"4";"6";"4";"6";"3";"1";"9"
"Alfa-driehoek";"8";"5";"10";"4";"7";"1";"2";"6";"1";"7";"1";"3"
"Hemknoop-Noord";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"3";"1"
"Sloterdijk-West";"46";"28";"32";"20";"20";"26";"31";"25";"24";"16";"13";"12"
"Isolatorbuurt";"28";"9";"14";"15";"13";"14";"15";"12";"12";"6";"6";"1"
"Contactbuurt";"13";"12";"14";"4";"5";"10";"12";"11";"11";"5";"6";"7"
"Woon- en Groengebied Sloterdijk";"5";"7";"4";"1";"2";"2";"4";"2";"1";"5";"1";"4"
"Spaarndammerbuurt/Zeeheldenbuurt";"51";"53";"44";"46";"19";"21";"25";"35";"23";"15";"16";"7"
