"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 3.1.1 Drugshandel"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Minervahaven-Noordoost";"0";"0";"0";"0";"1";"2";"0";"0";"0";"3";"0";"10"
"Minervahaven-Noordwest";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1"
"Minervahaven-Zuidwest";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"Minervahaven-Zuidoost";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Alfa-driehoek";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Hemknoop-Noord";"0";"0";"0";"1";"6";"8";"11";"9";"0";"3";"4";"1"
"Sloterdijk-West";"2";"1";"1";"15";"10";"20";"12";"17";"15";"14";"13";"8"
"Isolatorbuurt";"1";"1";"0";"12";"6";"19";"10";"16";"6";"7";"5";"6"
"Contactbuurt";"0";"0";"1";"3";"3";"1";"2";"1";"9";"6";"8";"2"
"Woon- en Groengebied Sloterdijk";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"Spaarndammerbuurt/Zeeheldenbuurt";"28";"34";"45";"34";"42";"50";"52";"43";"10";"10";"11";"16"
"Hemknoop-Zuid";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Overbraker Binnenpolder";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Zaanstraat emplacement";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
"Spaarndammerbuurt-Noordwest";"2";"4";"1";"2";"0";"4";"1";"2";"0";"0";"2";"3"
"Spaarndammerbuurt-Midden";"0";"1";"2";"0";"0";"1";"0";"0";"0";"1";"3";"0"
"Spaarndammerbuurt-Zuidwest";"1";"1";"3";"1";"1";"0";"0";"0";"0";"0";"1";"0"
"Spaarndammerbuurt-Noordoost";"2";"6";"2";"4";"2";"2";"4";"3";"3";"1";"0";"5"
"Zeeheldenbuurt";"2";"1";"1";"1";"1";"0";"0";"1";"0";"1";"0";"0"
"Westergasfabriek";"20";"19";"35";"22";"36";"42";"47";"34";"7";"7";"5";"7"
"Spaarndammerbuurt-Zuidoost";"1";"1";"1";"4";"1";"0";"0";"2";"0";"0";"0";"0"
"Houthavens";"0";"0";"1";"1";"0";"0";"0";"2";"1";"1";"2";"0"
"Houthavens-West";"0";"0";"1";"1";"0";"0";"0";"2";"0";"1";"1";"0"
"Houthavens-Oost";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"De Kolenkit";"7";"10";"7";"7";"6";"8";"4";"9";"2";"8";"11";"9"
"Kolenkitbuurt-Noord";"2";"4";"3";"2";"2";"2";"1";"8";"0";"3";"8";"4"
"Kolenkitbuurt-Zuid";"2";"2";"1";"1";"0";"0";"1";"0";"1";"2";"0";"2"
"Laan van Spartaan";"0";"3";"0";"0";"2";"2";"1";"1";"0";"0";"0";"1"
"Robert Scottbuurt-West";"3";"1";"3";"4";"2";"4";"1";"0";"1";"3";"3";"2"
"Landlust";"10";"23";"18";"16";"13";"15";"22";"6";"12";"11";"10";"13"
"Bosleeuw";"2";"8";"4";"6";"6";"3";"7";"6";"3";"2";"1";"3"
"Gibraltarbuurt";"4";"9";"3";"5";"3";"3";"5";"0";"5";"4";"5";"4"
"Bedrijventerrein Landlust";"0";"1";"4";"0";"1";"1";"1";"0";"0";"1";"2";"2"
"Landlust-Noord";"1";"1";"1";"2";"1";"3";"2";"0";"0";"1";"0";"2"
"Erasmusparkbuurt-Oost";"1";"1";"2";"0";"2";"1";"2";"0";"0";"2";"0";"0"
