"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 3.6.4 Aantasting openbare orde"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Hoofdweg e.o.";"7";"1";"5";"1";"4";"3";"4";"4";"10";"5";"10";"4"
"Orteliusbuurt-Midden";"1";"0";"1";"1";"1";"0";"2";"0";"2";"0";"3";"0"
"Balboaplein e.o.";"4";"1";"4";"0";"3";"1";"1";"3";"2";"0";"6";"3"
"Orteliusbuurt-Zuid";"1";"0";"0";"0";"0";"0";"0";"0";"4";"2";"0";"0"
"Columbusplein e.o.";"1";"0";"0";"0";"0";"2";"1";"1";"2";"3";"1";"1"
"Chassébuurt";"3";"3";"1";"1";"1";"0";"2";"0";"2";"3";"2";"1"
"Filips van Almondekwartier";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"Kortenaerkwartier";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0"
"Van Brakelkwartier";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"De Wester Quartier";"0";"2";"1";"1";"0";"0";"2";"0";"1";"1";"1";"0"
"Bellamybuurt";"3";"3";"0";"0";"2";"1";"2";"1";"1";"2";"4";"3"
"Bellamybuurt-Noord";"2";"1";"0";"0";"0";"0";"1";"0";"0";"2";"3";"1"
"Bellamybuurt-Zuid";"1";"2";"0";"0";"2";"1";"1";"1";"1";"0";"1";"2"
"Da Costabuurt";"4";"7";"1";"4";"5";"1";"0";"3";"4";"17";"8";"11"
"Da Costabuurt-Noord";"4";"7";"1";"4";"5";"1";"0";"3";"4";"17";"8";"11"
"Westindische Buurt";"2";"2";"3";"0";"2";"0";"0";"2";"1";"3";"3";"2"
"Postjeskade e.o.";"1";"2";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"Paramariboplein e.o.";"1";"0";"2";"0";"2";"0";"0";"1";"0";"3";"3";"2"
"Van Lennepbuurt";"2";"2";"4";"2";"0";"4";"4";"5";"3";"22";"15";"7"
"Lootsbuurt";"0";"1";"0";"0";"0";"0";"1";"2";"0";"4";"0";"0"
"Borgerbuurt";"2";"0";"2";"1";"0";"4";"2";"3";"3";"6";"5";"3"
"Da Costabuurt-Zuid";"0";"1";"2";"1";"0";"0";"1";"0";"0";"12";"10";"4"
"Overtoomse Sluis";"2";"3";"1";"1";"1";"0";"1";"0";"0";"2";"0";"0"
