"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.2.2 Diefstal van motorvoertuigen"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Buyskade e.o.";"3";"4";"5";"2";"11";"3";"10";"6";"6";"4";"2";"3"
"Frederik Hendrikbuurt";"20";"22";"19";"23";"11";"10";"17";"7";"11";"10";"8";"10"
"Frederik Hendrikbuurt-Noord";"9";"11";"10";"13";"6";"5";"7";"2";"2";"7";"3";"5"
"Frederik Hendrikbuurt-Zuidwest";"3";"3";"3";"3";"1";"0";"2";"1";"0";"0";"1";"4"
"Frederik Hendrikbuurt-Zuidoost";"8";"8";"6";"7";"4";"5";"8";"4";"9";"3";"4";"1"
"Van Galenbuurt";"11";"12";"13";"7";"10";"7";"5";"11";"12";"6";"8";"5"
"Mercatorpark";"0";"2";"3";"1";"3";"1";"2";"0";"0";"1";"2";"0"
"Orteliusbuurt-Noord";"2";"3";"4";"3";"1";"0";"1";"5";"4";"2";"2";"2"
"Jan Maijenbuurt";"6";"3";"3";"3";"1";"2";"2";"0";"0";"0";"2";"0"
"John Franklinbuurt";"3";"4";"3";"0";"5";"4";"0";"6";"8";"3";"2";"3"
"Geuzenbuurt";"14";"8";"9";"16";"12";"15";"23";"21";"15";"14";"11";"5"
"Pieter van der Doesbuurt";"4";"1";"1";"4";"2";"4";"7";"6";"2";"1";"5";"2"
"Trompbuurt";"5";"4";"4";"8";"5";"5";"5";"4";"8";"8";"4";"2"
"Geuzenhofbuurt";"5";"3";"4";"4";"5";"6";"11";"11";"5";"5";"2";"1"
"Hoofdweg e.o.";"14";"11";"19";"21";"9";"18";"9";"22";"20";"13";"17";"13"
"Orteliusbuurt-Midden";"3";"2";"3";"4";"0";"1";"1";"7";"3";"5";"4";"5"
"Balboaplein e.o.";"3";"2";"3";"7";"3";"8";"3";"6";"10";"3";"7";"3"
"Orteliusbuurt-Zuid";"1";"1";"3";"5";"2";"3";"2";"2";"1";"4";"1";"3"
"Columbusplein e.o.";"7";"6";"10";"5";"4";"6";"3";"7";"6";"1";"5";"2"
"Chassébuurt";"15";"14";"11";"9";"9";"11";"13";"10";"7";"5";"6";"2"
